Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:24:29      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:24:30            0       575      0.65      1.84      1.15         0
15:24:31            0       574      0.65      1.84      1.15         0
15:24:32            0       574      0.65      1.84      1.15         0
15:24:33            0       574      0.60      1.81      1.15         0
15:24:34           19       696      0.60      1.81      1.15         0
15:24:35           19       695      0.60      1.81      1.15         0
15:24:36            4       695      0.60      1.81      1.15         0
15:24:37           20       695      0.60      1.81      1.15         0
15:24:38            9       695      1.75      2.03      1.22         0
15:24:39            4       695      1.75      2.03      1.22         0
15:24:40            6       695      1.75      2.03      1.22         0
15:24:41           11       695      1.75      2.03      1.22         0
15:24:42           17       695      1.75      2.03      1.22         0
15:24:43           15       695      2.01      2.08      1.24         0
15:24:44            8       695      2.01      2.08      1.24         0
15:24:45            9       695      2.01      2.08      1.24         0
15:24:46            1       695      2.01      2.08      1.24         0
15:24:47            7       695      2.01      2.08      1.24         0
15:24:48           12       695      2.73      2.22      1.29         0
15:24:49           19       695      2.73      2.22      1.29         0
15:24:50            5       695      2.73      2.22      1.29         0
15:24:51           13       695      2.73      2.22      1.29         0
15:24:52           11       695      2.73      2.22      1.29         0
15:24:53           17       695      4.19      2.54      1.40         0
15:24:54           11       695      4.19      2.54      1.40         0
15:24:55           25       695      4.19      2.54      1.40         0
15:24:56            8       695      4.19      2.54      1.40         0
15:24:57           21       695      4.19      2.54      1.40         0
15:24:58            0       695      5.14      2.76      1.48         0
15:24:59            7       695      5.14      2.76      1.48         0
15:25:00           11       695      5.14      2.76      1.48         0
15:25:01           18       695      5.14      2.76      1.48         0
15:25:02           12       695      5.14      2.76      1.48         0
15:25:03            6       695      5.77      2.93      1.54         0
15:25:04           14       697      5.77      2.93      1.54         0
15:25:05            4       697      5.77      2.93      1.54         0
15:25:06            9       697      5.77      2.93      1.54         0
15:25:07            9       697      5.77      2.93      1.54         0
15:25:08           24       697      6.83      3.20      1.64         0
15:25:09            5       697      6.83      3.20      1.64         0
15:25:10            3       697      6.83      3.20      1.64         0
15:25:11           13       697      6.83      3.20      1.64         0
15:25:12           10       697      6.83      3.20      1.64         0
15:25:13            5       697      6.84      3.26      1.66         0
15:25:14            5       697      6.84      3.26      1.66         0
15:25:15           16       697      6.84      3.26      1.66         0
15:25:16            3       696      6.84      3.26      1.66         0
15:25:17            3       696      6.84      3.26      1.66         0
15:25:18           18       696      6.29      3.21      1.66         0
15:25:19           12       696      6.29      3.21      1.66         0
15:25:20           10       696      6.29      3.21      1.66         0
15:25:21            3       696      6.29      3.21      1.66         0
15:25:22            9       696      6.29      3.21      1.66         0
15:25:23            6       696      6.99      3.40      1.73         0
15:25:24           11       696      6.99      3.40      1.73         0
15:25:25            0       696      6.99      3.40      1.73         0
15:25:26            4       696      6.99      3.40      1.73         0
15:25:27            8       696      6.99      3.40      1.73         0
15:25:28            5       696      7.07      3.48      1.76         0
15:25:29            5       696      7.07      3.48      1.76         0
15:25:30           14       696      7.07      3.48      1.76         0
15:25:31           15       696      7.07      3.48      1.76         0
15:25:32           18       696      7.07      3.48      1.76         0
15:25:33           17       696      6.75      3.47      1.77         0
15:25:34           15       696      6.75      3.47      1.77         0
15:25:35            3       696      6.75      3.47      1.77         0
15:25:36           12       695      6.75      3.47      1.77         0
15:25:37           10       695      6.75      3.47      1.77         0
15:25:38           20       693      6.85      3.55      1.80         0
Average:           10       689      4.69      2.77      1.49         0
