Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:24:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:24:29        all      0.08      0.00      0.04      0.00      0.00     99.88
15:24:30        all      0.08      0.00      0.02      0.00      0.00     99.90
15:24:31        all      0.00      0.00      0.00      0.00      0.00    100.00
15:24:32        all      0.00      0.00      0.00      0.00      0.00    100.00
15:24:33        all      0.06      0.00      0.00      0.00      0.00     99.94
15:24:34        all      2.23      0.00      9.55      0.17      0.00     88.05
15:24:35        all      4.08      0.00     19.63      0.00      0.00     76.28
15:24:36        all      4.05      0.00     18.67      0.00      0.00     77.28
15:24:37        all      3.78      0.00     20.08      0.00      0.00     76.14
15:24:38        all      3.73      0.00     18.46      0.00      0.00     77.82
15:24:39        all      4.06      0.00     19.44      0.00      0.00     76.51
15:24:40        all      3.53      0.00     18.43      0.00      0.00     78.05
15:24:41        all      4.03      0.00     20.14      0.00      0.00     75.83
15:24:42        all      3.80      0.00     18.07      0.00      0.00     78.13
15:24:43        all      3.77      0.00     19.36      0.00      0.00     76.86
15:24:44        all      4.11      0.00     19.89      0.00      0.00     75.99
15:24:45        all      4.10      0.00     20.27      0.00      0.00     75.63
15:24:46        all      3.86      0.00     17.47      0.00      0.00     78.67
15:24:47        all      3.44      0.00     16.95      0.00      0.00     79.61
15:24:48        all      4.31      0.00     19.01      0.00      0.00     76.68
15:24:49        all      3.90      0.00     18.56      0.00      0.00     77.54
15:24:50        all      3.65      0.00     18.76      0.00      0.00     77.60
15:24:51        all      4.43      0.00     18.33      0.00      0.00     77.24
15:24:52        all      4.16      0.00     18.97      0.00      0.00     76.87
15:24:53        all      4.14      0.00     19.84      0.00      0.00     76.02
15:24:54        all      4.17      0.00     17.79      0.00      0.00     78.04
15:24:55        all      4.08      0.00     19.22      0.00      0.00     76.70
15:24:56        all      3.72      0.00     18.42      0.00      0.00     77.85
15:24:57        all      3.62      0.00     17.58      0.00      0.00     78.80
15:24:58        all      3.73      0.00     18.25      0.00      0.00     78.02
15:24:59        all      4.10      0.00     19.80      0.00      0.00     76.11
15:25:00        all      4.98      0.00     21.01      0.02      0.00     73.98
15:25:01        all      4.23      0.00     19.03      0.00      0.00     76.74
15:25:02        all      3.69      0.00     19.30      0.00      0.00     77.01
15:25:03        all      4.38      0.00     19.49      0.00      0.00     76.12
15:25:04        all      4.07      0.00     19.96      0.00      0.00     75.97
15:25:05        all      3.36      0.00     17.83      0.00      0.00     78.81
15:25:06        all      4.47      0.00     19.30      0.00      0.00     76.22
15:25:07        all      3.51      0.00     18.86      0.00      0.00     77.64
15:25:08        all      4.52      0.00     19.68      0.00      0.00     75.80
15:25:09        all      4.05      0.00     20.56      0.00      0.00     75.39
15:25:10        all      4.07      0.00     19.53      0.02      0.00     76.38
15:25:11        all      3.66      0.00     17.69      0.00      0.00     78.65
15:25:12        all      4.46      0.00     18.19      0.00      0.00     77.35
15:25:13        all      3.84      0.00     18.17      0.00      0.00     77.99
15:25:14        all      3.59      0.00     18.94      0.00      0.00     77.46
15:25:15        all      4.30      0.00     19.30      0.00      0.00     76.40
15:25:16        all      3.93      0.00     19.09      0.00      0.00     76.99
15:25:17        all      4.17      0.00     17.70      0.00      0.00     78.13
15:25:18        all      3.49      0.00     17.97      0.00      0.00     78.54
15:25:19        all      3.63      0.00     18.71      0.00      0.00     77.67
15:25:20        all      3.96      0.00     19.65      0.00      0.00     76.39
15:25:21        all      4.03      0.00     19.06      0.00      0.00     76.91
15:25:22        all      4.25      0.00     18.21      0.00      0.00     77.54
15:25:23        all      4.48      0.00     20.74      0.00      0.00     74.78
15:25:24        all      4.03      0.00     19.66      0.00      0.00     76.31
15:25:25        all      4.53      0.00     19.24      0.00      0.00     76.23
15:25:26        all      4.63      0.00     18.68      0.00      0.00     76.70
15:25:27        all      3.81      0.00     19.53      0.00      0.00     76.67
15:25:28        all      3.71      0.00     21.16      0.00      0.00     75.13
15:25:29        all      4.18      0.00     19.69      0.00      0.00     76.13
15:25:30        all      4.47      0.00     21.45      0.00      0.00     74.08
15:25:31        all      4.42      0.00     18.09      0.00      0.00     77.49
15:25:32        all      4.07      0.00     19.41      0.00      0.00     76.52
15:25:33        all      3.80      0.00     19.30      0.00      0.00     76.90
15:25:34        all      4.49      0.00     19.05      0.00      0.00     76.47
15:25:35        all      3.47      0.00     18.09      0.00      0.00     78.44
15:25:36        all      3.75      0.00     17.94      0.00      0.00     78.32
15:25:37        all      3.78      0.00     18.75      0.00      0.00     77.47
Average:        all      3.68      0.00     17.45      0.00      0.00     78.87
