procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95898620  23676 789812    0    0     2    83 40313    8  0  0 99  0  0  0
 0  0      0 95897876  23676 789816    0    0     0     0  669  362  0  0 100  0  0  0
 0  0      0 95897120  23676 789824    0    0     0     0  623  380  0  0 100  0  0  0
 0  0      0 95896868  23676 789828    0    0     0     0  532  287  0  0 100  0  0  0
 0  0      0 95896868  23676 789832    0    0     0     0  183  196  0  0 100  0  0  0
 0  0      0 95896868  23680 789832    0    0     0    11  150  175  0  0 100  0  0  0
 0  0      0 95867996  23700 789836    0    0     0   530 2213 3562  0  0 100  0  0  0
 0  0      0 95854088  23704 789976    0    0     0    47 1389555 1349439  4 17 79  0  0  0
10  0      0 95851180  23704 789976    0    0     0     0 1571342 1535016  4 20 76  0  0  0
11  0      0 95847040  23704 789980    0    0     0     0 1561170 1523837  4 19 77  0  0  0
11  0      0 95844836  23704 789980    0    0     0     0 1548098 1508620  3 19 77  0  0  0
20  0      0 95839828  23704 789980    0    0     0     0 1563307 1522383  4 19 78  0  0  0
20  0      0 95843184  23704 789980    0    0     0    13 1566979 1529607  4 20 76  0  0  0
14  0      0 95851792  23704 789980    0    0     0     0 1580274 1552155  4 18 78  0  0  0
 5  0      0 95845532  23704 789984    0    0     0     0 1545730 1517733  4 20 76  0  0  0
 1  0      0 95848980  23704 789984    0    0     0     0 1581371 1552425  4 18 78  0  0  0
 3  0      0 95846720  23704 789988    0    0     0     0 1566526 1527992  4 20 76  0  0  0
10  0      0 95847680  23704 789988    0    0     0     5 1552704 1509575  4 20 76  0  0  0
13  0      0 95847336  23704 789988    0    0     0     0 1585358 1551155  4 19 77  0  0  0
 9  0      0 95849444  23704 789988    0    0     0     0 1648066 1627159  4 16 80  0  0  0
17  0      0 95850460  23704 789988    0    0     0     0 1587175 1551387  4 19 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 95846784  23704 789988    0    0     0     0 1540922 1496823  4 19 77  0  0  0
 9  0      0 95846496  23704 789988    0    0     0     5 1598627 1565027  4 18 78  0  0  0
 3  0      0 95845628  23704 789992    0    0     0     0 1591818 1556926  4 18 78  0  0  0
13  0      0 95846308  23704 789992    0    0     0     0 1550341 1506830  5 19 76  0  0  0
10  0      0 95846028  23704 789992    0    0     0     0 1553826 1513067  4 20 77  0  0  0
11  0      0 95845676  23704 789996    0    0     0     0 1584325 1548369  4 19 77  0  0  0
11  0      0 95842424  23704 789996    0    0     0     5 1576894 1538948  4 19 77  0  0  0
16  0      0 95843856  23704 789996    0    0     0     0 1572313 1534900  4 19 77  0  0  0
 7  0      0 95842828  23704 790000    0    0     0     0 1612740 1582839  3 17 79  0  0  0
 7  0      0 95844976  23704 790000    0    0     0     0 1608811 1576088  3 18 79  0  0  0
10  0      0 95846360  23704 790000    0    0     0     0 1560055 1518868  5 19 76  0  0  0
16  0      0 95842732  23704 790000    0    0     0     5 1548505 1505073  4 21 75  0  0  0
11  0      0 95840660  23704 790000    0    0     0     0 1565649 1526535  4 20 75  0  0  0
 7  0      0 95838996  23704 790004    0    0     0     0 1557124 1517306  4 20 76  0  0  0
 3  0      0 95843064  23704 790004    0    0     0     0 1583942 1547518  4 19 77  0  0  0
 7  0      0 95844568  23704 790008    0    0     0     0 1571111 1533394  4 19 77  0  0  0
19  0      0 95843480  23704 790008    0    0     0    22 1570818 1530334  4 19 77  0  0  0
17  0      0 95843208  23704 790008    0    0     0    14 1586185 1550939  4 19 77  0  0  0
 7  0      0 95843224  23704 790008    0    0     0     0 1568179 1527086  4 19 77  0  0  0
21  0      0 95845332  23704 790008    0    0     0     0 1593813 1555076  4 18 77  0  0  0
 4  0      0 95844788  23704 790008    0    0     0     0 1554464 1510632  4 21 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  1      0 95843564  23704 790016    0    0     0    50 1583401 1545176  4 20 76  0  0  0
14  0      0 95848576  23704 790016    0    0     0     1 1570432 1527151  4 19 77  0  0  0
11  0      0 95846648  23704 790016    0    0     0     0 1574259 1536777  4 17 79  0  0  0
 1  0      0 95848180  23704 790016    0    0     0     0 1572371 1533188  5 19 77  0  0  0
 5  0      0 95849880  23704 790016    0    0     0     0 1583854 1546513  3 19 78  0  0  0
17  0      0 95845620  23704 790024    0    0     0     0 1574526 1534795  4 19 77  0  0  0
15  0      0 95849412  23704 790024    0    0     0     5 1579597 1542604  4 19 77  0  0  0
 8  0      0 95846064  23704 790024    0    0     0     0 1578197 1539989  4 18 78  0  0  0
27  0      0 95843060  23704 790024    0    0     0     0 1580111 1539486  4 18 78  0  0  0
 8  0      0 95843204  23704 790024    0    0     0     0 1570893 1534284  4 18 79  0  0  0
13  0      0 95838808  23704 790028    0    0     0     0 1550734 1508267  4 20 75  0  0  0
17  0      0 95842380  23704 790028    0    0     0     5 1587265 1550439  3 19 78  0  0  0
 7  0      0 95841216  23704 790028    0    0     0     0 1582085 1545219  4 18 78  0  0  0
 7  0      0 95840192  23704 790032    0    0     0     0 1574226 1536090  5 20 75  0  0  0
19  0      0 95837460  23704 790032    0    0     0     0 1580092 1541692  4 20 76  0  0  0
 3  0      0 95840964  23704 790036    0    0     0     0 1599233 1563017  4 20 76  0  0  0
 7  0      0 95844760  23708 790036    0    0     0     5 1584723 1549002  5 18 78  0  0  0
 7  0      0 95845092  23708 790040    0    0     0     0 1558451 1514262  5 21 75  0  0  0
15  0      0 95846444  23708 790040    0    0     0     0 1574206 1533579  4 19 78  0  0  0
19  0      0 95846140  23708 790044    0    0     0     0 1573560 1533426  4 21 75  0  0  0
22  0      0 95843016  23708 790044    0    0     0     0 1566639 1525805  5 21 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0      0 95839976  23712 790040    0    0     0     5 1582318 1542727  4 21 75  0  0  0
 3  0      0 95842196  23712 790044    0    0     0     0 1602739 1571196  4 18 78  0  0  0
14  0      0 95839104  23712 790044    0    0     0     0 1530796 1480516  4 20 76  0  0  0
13  0      0 95840040  23712 790044    0    0     0     0 1571678 1530884  4 20 76  0  0  0
 4  0      0 95837936  23712 790048    0    0     0    34 1582846 1545501  4 18 77  0  0  0
 3  0      0 95835664  23712 790048    0    0     0     0 1569693 1529406  3 17 80  0  0  0
