Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:24:25      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:24:26            0       623      1.05      2.22      1.32         0
15:24:27            0       625      1.05      2.22      1.32         0
15:24:28            0       622      0.96      2.18      1.31         0
15:24:29            0       622      0.96      2.18      1.31         0
15:24:30            0       622      0.96      2.18      1.31         0
15:24:31            0       622      0.96      2.18      1.31         0
15:24:32            0       622      0.96      2.18      1.31         0
15:24:33            0       625      0.88      2.15      1.30         0
15:24:34           10       626      0.88      2.15      1.30         0
15:24:35           10       626      0.88      2.15      1.30         0
15:24:36           14       626      0.88      2.15      1.30         0
15:24:37            2       626      0.88      2.15      1.30         0
15:24:38            6       626      1.05      2.16      1.31         0
15:24:39            7       626      1.05      2.16      1.31         0
15:24:40            3       626      1.05      2.16      1.31         0
15:24:41            3       626      1.05      2.16      1.31         0
15:24:42           15       626      1.05      2.16      1.31         0
15:24:43            4       626      1.69      2.27      1.35         0
15:24:44           19       626      1.69      2.27      1.35         0
15:24:45           12       626      1.69      2.27      1.35         0
15:24:46            1       626      1.69      2.27      1.35         0
15:24:47            1       626      1.69      2.27      1.35         0
15:24:48           13       626      3.24      2.59      1.46         0
15:24:49            8       626      3.24      2.59      1.46         0
15:24:50            9       625      3.24      2.59      1.46         0
15:24:51           15       626      3.24      2.59      1.46         0
15:24:52            9       626      3.24      2.59      1.46         0
15:24:53            1       626      3.86      2.73      1.51         0
15:24:54            2       626      3.86      2.73      1.51         0
15:24:55           19       626      3.86      2.73      1.51         0
15:24:56           17       626      3.86      2.73      1.51         0
15:24:57           21       626      3.86      2.73      1.51         0
15:24:58           13       626      3.79      2.73      1.52         0
15:24:59           17       626      3.79      2.73      1.52         0
15:25:00           20       626      3.79      2.73      1.52         0
15:25:01            8       626      3.79      2.73      1.52         0
15:25:02            6       626      3.79      2.73      1.52         0
15:25:03           13       626      4.61      2.92      1.58         0
15:25:04           16       626      4.61      2.92      1.58         0
15:25:05            4       626      4.61      2.92      1.58         0
15:25:06           12       626      4.61      2.92      1.58         0
15:25:07           13       626      4.61      2.92      1.58         0
15:25:08           11       626      4.32      2.89      1.58         0
15:25:09           10       626      4.32      2.89      1.58         0
15:25:10           11       625      4.32      2.89      1.58         0
15:25:11            6       625      4.32      2.89      1.58         2
15:25:12            8       625      4.32      2.89      1.58         0
15:25:13           16       625      4.21      2.89      1.59         0
15:25:14            5       625      4.21      2.89      1.59         0
15:25:15            3       625      4.21      2.89      1.59         0
15:25:16           18       625      4.21      2.89      1.59         0
15:25:17            6       625      4.21      2.89      1.59         0
15:25:18           16       625      4.28      2.92      1.61         0
15:25:19           17       625      4.28      2.92      1.61         0
15:25:20           19       625      4.28      2.92      1.61         0
15:25:21            6       625      4.28      2.92      1.61         0
15:25:22           16       625      4.28      2.92      1.61         0
15:25:23            3       625      4.01      2.89      1.60         0
15:25:24            6       625      4.01      2.89      1.60         0
15:25:25           15       625      4.01      2.89      1.60         0
15:25:26           19       625      4.01      2.89      1.60         0
15:25:27           13       625      4.01      2.89      1.60         0
15:25:28            8       625      4.09      2.93      1.62         0
15:25:29            1       625      4.09      2.93      1.62         0
15:25:30            1       625      4.09      2.93      1.62         0
15:25:31            1       625      4.09      2.93      1.62         0
15:25:32           15       624      4.09      2.93      1.62         0
15:25:33           10       624      4.97      3.13      1.70         0
15:25:34           13       622      4.97      3.13      1.70         0
Average:            9       625      3.14      2.64      1.49         0
