Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:24:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:24:26        all      0.04      0.00      0.04      0.00      0.00     99.92
15:24:27        all      0.06      0.00      0.02      0.00      0.00     99.92
15:24:28        all      0.06      0.00      0.02      0.00      0.00     99.92
15:24:29        all      0.00      0.00      0.02      0.00      0.00     99.98
15:24:30        all      0.00      0.00      0.02      0.00      0.00     99.98
15:24:31        all      0.00      0.00      0.02      0.00      0.00     99.98
15:24:32        all      0.00      0.00      0.02      0.02      0.00     99.96
15:24:33        all      0.02      0.00      0.02      0.00      0.00     99.96
15:24:34        all      0.10      0.00      0.23      0.00      0.00     99.67
15:24:35        all      8.10      0.00      6.92      0.00      0.00     84.98
15:24:36        all     13.19      0.00     11.32      0.00      0.00     75.49
15:24:37        all     13.87      0.00     13.06      0.00      0.00     73.07
15:24:38        all     13.61      0.00     11.42      0.00      0.00     74.96
15:24:39        all     13.45      0.00     11.76      0.00      0.00     74.79
15:24:40        all     12.70      0.00     11.23      0.00      0.00     76.06
15:24:41        all     12.02      0.00     11.45      0.00      0.00     76.52
15:24:42        all     11.89      0.00     11.20      0.02      0.00     76.89
15:24:43        all     13.19      0.00     11.37      0.00      0.00     75.44
15:24:44        all     12.13      0.00     11.96      0.00      0.00     75.91
15:24:45        all     12.80      0.00     11.31      0.00      0.00     75.89
15:24:46        all     12.53      0.00     11.25      0.00      0.00     76.22
15:24:47        all     12.28      0.00     12.41      0.00      0.00     75.31
15:24:48        all     11.96      0.00     11.55      0.00      0.00     76.49
15:24:49        all     11.90      0.00     11.88      0.00      0.00     76.22
15:24:50        all     12.61      0.00     11.26      0.00      0.00     76.13
15:24:51        all     13.00      0.00     12.27      0.00      0.00     74.73
15:24:52        all     14.25      0.00     12.20      0.00      0.00     73.55
15:24:53        all     11.67      0.00     11.49      0.00      0.00     76.84
15:24:54        all     13.05      0.00     12.01      0.00      0.00     74.94
15:24:55        all     13.18      0.00     11.98      0.00      0.00     74.84
15:24:56        all     14.24      0.00     12.73      0.00      0.00     73.03
15:24:57        all     12.59      0.00     12.16      0.00      0.00     75.25
15:24:58        all     13.14      0.00     11.50      0.00      0.00     75.36
15:24:59        all     13.34      0.00     11.42      0.00      0.00     75.24
15:25:00        all     13.86      0.00     12.93      0.00      0.00     73.21
15:25:01        all     13.53      0.00     11.90      0.00      0.00     74.57
15:25:02        all     12.87      0.00     11.86      0.00      0.00     75.27
15:25:03        all     11.86      0.00     11.07      0.00      0.00     77.07
15:25:04        all     12.97      0.00     11.56      0.00      0.00     75.47
15:25:05        all     12.35      0.00     12.24      0.00      0.00     75.41
15:25:06        all     13.14      0.00     11.69      0.00      0.00     75.17
15:25:07        all     12.37      0.00     11.00      0.00      0.00     76.63
15:25:08        all     13.53      0.00     10.88      0.00      0.00     75.59
15:25:09        all     14.60      0.00     11.28      0.00      0.00     74.12
15:25:10        all     11.69      0.00     10.61      0.00      0.00     77.71
15:25:11        all     12.91      0.00     11.89      0.00      0.00     75.20
15:25:12        all     12.18      0.00     12.35      0.21      0.00     75.26
15:25:13        all     12.58      0.00     11.89      0.00      0.00     75.53
15:25:14        all     12.54      0.00     11.57      0.00      0.00     75.88
15:25:15        all     12.18      0.00     10.94      0.00      0.00     76.88
15:25:16        all     11.89      0.00     11.52      0.00      0.00     76.58
15:25:17        all     13.65      0.00     11.21      0.00      0.00     75.14
15:25:18        all     13.69      0.00     11.66      0.00      0.00     74.65
15:25:19        all     13.42      0.00     10.37      0.00      0.00     76.22
15:25:20        all     13.65      0.00     11.00      0.00      0.00     75.34
15:25:21        all     13.03      0.00     11.66      0.00      0.00     75.31
15:25:22        all     13.26      0.00     11.10      0.00      0.00     75.64
15:25:23        all     14.07      0.00     11.72      0.00      0.00     74.21
15:25:24        all     13.10      0.00     12.55      0.00      0.00     74.35
15:25:25        all     12.61      0.00     11.77      0.00      0.00     75.62
15:25:26        all     12.92      0.00     12.32      0.00      0.00     74.76
15:25:27        all     13.02      0.00     12.06      0.00      0.00     74.91
15:25:28        all     12.61      0.00     11.25      0.00      0.00     76.15
15:25:29        all     13.82      0.00     11.62      0.00      0.00     74.56
15:25:30        all     12.93      0.00     11.14      0.00      0.00     75.93
15:25:31        all     12.82      0.00     11.38      0.00      0.00     75.80
15:25:32        all     12.50      0.00     11.64      0.00      0.00     75.86
15:25:33        all     12.70      0.00     11.08      0.00      0.00     76.22
15:25:34        all     14.82      0.00     11.73      0.00      0.00     73.45
Average:        all     11.16      0.00     10.03      0.00      0.00     78.81
