procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95211332  25176 1339396    0    0     2   634 33471    3  0  0 99  0  0  0
 0  0      0 95211584  25176 1339404    0    0     0     0  677  370  0  0 100  0  0  0
 1  0      0 95212092  25176 1339412    0    0     0    20  818  526  0  0 100  0  0  0
 0  0      0 95211336  25176 1339416    0    0     0     0  607  324  0  0 100  0  0  0
 0  0      0 95210872  25176 1339552    0    0     0     0  444  339  0  0 100  0  0  0
 0  0      0 95210872  25176 1339568    0    0     0     0  158  208  0  0 100  0  0  0
 0  0      0 95210872  25176 1339588    0    0     0     0  109  114  0  0 100  0  0  0
 0  0      0 95210872  25176 1339608    0    0     0    12  127  134  0  0 100  0  0  0
 0  0      0 95210872  25176 1339624    0    0     0     0  211  218  0  0 100  0  0  0
 0  0      0 95210620  25176 1339648    0    0     0     0  326  252  0  0 100  0  0  0
 6  0      0 95122960  25176 1340536    0    0     0     0 20756 5545  0  0 99  0  0  0
15  0      0 95110412  25176 1340584    0    0     0     0 1086096 279736 13 11 76  0  0  0
 9  0      0 95106244  25176 1340604    0    0     0   310 1092648 279889 14 12 74  0  0  0
 5  0      0 95105368  25176 1340628    0    0     0    18 1091777 283734 14 13 73  0  0  0
11  0      0 95105612  25176 1340648    0    0     0     0 1087875 282647 12 12 76  0  0  0
15  0      0 95105424  25176 1340668    0    0     0     0 1091932 283322 14 12 74  0  0  0
14  0      0 95107184  25176 1340688    0    0     0     0 1092530 282780 11 11 78  0  0  0
20  0      0 95082832  25176 1359468    0    0     0     0 1087273 287076 13 12 75  0  0  0
 5  0      0 95082452  25176 1362048    0    0     0     8 1078966 285025 12 11 77  0  0  0
 9  0      0 95073532  25176 1365032    0    0     0     0 1091912 286387 13 12 75  0  0  0
17  0      0 95070568  25176 1367624    0    0     0     0 1093771 284026 13 12 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 95066960  25176 1370572    0    0     0     0 1093995 284798 13 11 76  0  0  0
13  0      0 95074676  25176 1371088    0    0     0     0 1097111 282801 13 11 76  0  0  0
 8  0      0 95066604  25180 1374520    0    0     0     8 1101532 283289 12 12 76  0  0  0
 7  0      0 95064092  25180 1378068    0    0     0     0 1095782 285105 13 12 76  0  0  0
11  0      0 95057000  25180 1380984    0    0     0     0 1089614 283740 11 12 77  0  0  0
10  0      0 95057332  25180 1384116    0    0     0     0 1092974 283238 14 12 75  0  0  0
20  0      0 95050472  25180 1386904    0    0     0     3 1100525 286295 13 12 75  0  0  0
 3  0      0 95051644  25180 1389564    0    0     0    12 1091474 283728 14 12 74  0  0  0
 1  0      0 95043676  25180 1392012    0    0     0     0 1092545 284338 12 12 76  0  0  0
18  0      0 95045972  25180 1394832    0    0     0     0 1096760 284239 13 12 75  0  0  0
11  0      0 95044488  25180 1395212    0    0     0     0 1096982 284838 14 12 74  0  0  0
10  0      0 95042172  25180 1400188    0    0     0     0 1099633 284179 14 12 74  0  0  0
 1  0      0 95033460  25180 1402544    0    0     0     8 1103088 283658 13 12 75  0  0  0
 4  0      0 95030552  25180 1404428    0    0     0     0 1102348 285585 13 12 75  0  0  0
13  0      0 95031160  25180 1408292    0    0     0     0 1094351 284451 14 12 74  0  0  0
 4  0      0 95026320  25180 1410916    0    0     0     0 1093038 285464 14 12 74  0  0  0
 5  0      0 95021384  25180 1414148    0    0     0     0 1098758 285401 13 12 75  0  0  0
10  0      0 95022880  25180 1416388    0    0     0     8 1092070 283894 12 12 76  0  0  0
11  0      0 95020624  25180 1418620    0    0     0     0 1101038 284246 12 11 76  0  0  0
 4  0      0 95014560  25180 1421804    0    0     0     0 1094983 284261 13 12 76  0  0  0
