Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:18:21      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:18:22            0       581      1.00      1.20      0.53         0
15:18:23            0       582      0.92      1.18      0.52         0
15:18:24            0       581      0.92      1.18      0.52         0
15:18:25            0       581      0.92      1.18      0.52         0
15:18:26            1       583      0.92      1.18      0.52         0
15:18:27           11       705      0.92      1.18      0.52         0
15:18:28           21       705      1.17      1.23      0.54         0
15:18:29            6       705      1.17      1.23      0.54         0
15:18:30           11       705      1.17      1.23      0.54         0
15:18:31           23       705      1.17      1.23      0.54         0
15:18:32            0       705      1.17      1.23      0.54         0
15:18:33            1       705      2.60      1.52      0.64         0
15:18:34           21       705      2.60      1.52      0.64         0
15:18:35            7       705      2.60      1.52      0.64         0
15:18:36           10       705      2.60      1.52      0.64         0
15:18:37            1       705      2.60      1.52      0.64         0
15:18:38           19       705      3.11      1.65      0.69         0
15:18:39            4       705      3.11      1.65      0.69         0
15:18:40            0       705      3.11      1.65      0.69         0
15:18:41           14       705      3.11      1.65      0.69         0
15:18:42            9       705      3.11      1.65      0.69         0
15:18:43            9       705      3.74      1.80      0.74         0
15:18:44           20       705      3.74      1.80      0.74         0
15:18:45            4       705      3.74      1.80      0.74         0
15:18:46            3       705      3.74      1.80      0.74         0
15:18:47            6       705      3.74      1.80      0.74         0
15:18:48           21       705      3.52      1.79      0.74         0
15:18:49           16       705      3.52      1.79      0.74         0
15:18:50            2       705      3.52      1.79      0.74         0
15:18:51            8       705      3.52      1.79      0.74         0
15:18:52            2       705      3.52      1.79      0.74         0
15:18:53            6       705      4.76      2.08      0.84         0
15:18:54            2       705      4.76      2.08      0.84         0
15:18:55           21       705      4.76      2.08      0.84         0
15:18:56           10       705      4.76      2.08      0.84         0
15:18:57            9       706      4.76      2.08      0.84         0
15:18:58            8       706      4.38      2.04      0.84         0
15:18:59           26       706      4.38      2.04      0.84         0
15:19:00            6       706      4.38      2.04      0.84         0
15:19:01            9       706      4.38      2.04      0.84         0
15:19:02            6       706      4.38      2.04      0.84         0
15:19:03            4       706      4.19      2.04      0.84         0
15:19:04            3       706      4.19      2.04      0.84         0
15:19:05           20       706      4.19      2.04      0.84         0
15:19:06           20       706      4.19      2.04      0.84         0
15:19:07            7       706      4.19      2.04      0.84         0
15:19:08           10       706      4.65      2.17      0.89         0
15:19:09           22       706      4.65      2.17      0.89         0
15:19:10            8       706      4.65      2.17      0.89         0
15:19:11            6       706      4.65      2.17      0.89         0
15:19:12           19       706      4.65      2.17      0.89         0
15:19:13           10       706      4.76      2.24      0.92         0
15:19:14           21       706      4.76      2.24      0.92         0
15:19:15           10       706      4.76      2.24      0.92         0
15:19:16           11       706      4.76      2.24      0.92         0
15:19:17           16       706      4.76      2.24      0.92         0
15:19:18            4       706      4.38      2.20      0.92         0
15:19:19           15       706      4.38      2.20      0.92         0
15:19:20           20       706      4.38      2.20      0.92         0
15:19:21           16       706      4.38      2.20      0.92         0
15:19:22            3       706      4.38      2.20      0.92         0
15:19:23           15       706      4.11      2.18      0.92         0
15:19:24           14       706      4.11      2.18      0.92         0
15:19:25           20       706      4.11      2.18      0.92         0
15:19:26            1       706      4.11      2.18      0.92         0
15:19:27            5       706      4.11      2.18      0.92         0
15:19:28            4       705      4.66      2.33      0.97         0
15:19:29            5       705      4.66      2.33      0.97         0
15:19:30            6       703      4.66      2.33      0.97         0
Average:           10       696      3.57      1.87      0.78         0
