Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:18:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:18:21        all      0.08      0.00      0.00      0.00      0.00     99.92
15:18:22        all      0.02      0.00      0.02      0.00      0.00     99.96
15:18:23        all      0.00      0.00      0.00      0.00      0.00    100.00
15:18:24        all      0.00      0.00      0.00      0.00      0.00    100.00
15:18:25        all      0.00      0.00      0.00      0.02      0.00     99.98
15:18:26        all      0.10      0.00      0.02      0.08      0.00     99.79
15:18:27        all      3.59      0.00     16.97      0.02      0.00     79.42
15:18:28        all      3.23      0.00     17.64      0.00      0.00     79.13
15:18:29        all      3.25      0.00     16.61      0.00      0.00     80.14
15:18:30        all      3.45      0.00     17.28      0.00      0.00     79.27
15:18:31        all      3.31      0.00     16.31      0.00      0.00     80.38
15:18:32        all      3.30      0.00     17.02      0.00      0.00     79.68
15:18:33        all      3.57      0.00     18.12      0.00      0.00     78.31
15:18:34        all      4.10      0.00     17.35      0.00      0.00     78.55
15:18:35        all      3.76      0.00     17.85      0.00      0.00     78.39
15:18:36        all      3.71      0.00     17.00      0.00      0.00     79.29
15:18:37        all      4.20      0.00     17.96      0.00      0.00     77.84
15:18:38        all      3.72      0.00     18.51      0.00      0.00     77.78
15:18:39        all      3.31      0.00     17.23      0.00      0.00     79.45
15:18:40        all      3.64      0.00     18.47      0.00      0.00     77.89
15:18:41        all      3.24      0.00     16.65      0.00      0.00     80.11
15:18:42        all      3.63      0.00     17.50      0.00      0.00     78.86
15:18:43        all      3.79      0.00     17.09      0.00      0.00     79.12
15:18:44        all      3.88      0.00     17.66      0.00      0.00     78.46
15:18:45        all      3.65      0.00     18.29      0.00      0.00     78.06
15:18:46        all      3.39      0.00     18.49      0.00      0.00     78.12
15:18:47        all      3.92      0.00     18.44      0.00      0.00     77.64
15:18:48        all      4.34      0.00     19.30      0.00      0.00     76.36
15:18:49        all      4.06      0.00     19.00      0.00      0.00     76.94
15:18:50        all      3.68      0.00     18.05      0.00      0.00     78.27
15:18:51        all      3.78      0.00     17.54      0.00      0.00     78.67
15:18:52        all      4.24      0.00     17.82      0.00      0.00     77.94
15:18:53        all      3.61      0.00     17.40      0.02      0.00     78.97
15:18:54        all      3.21      0.00     16.92      0.00      0.00     79.87
15:18:55        all      3.90      0.00     18.37      0.00      0.00     77.72
15:18:56        all      3.22      0.00     19.61      0.00      0.00     77.17
15:18:57        all      3.51      0.00     18.16      0.00      0.00     78.33
15:18:58        all      4.36      0.00     19.00      0.00      0.00     76.63
15:18:59        all      3.91      0.00     17.98      0.00      0.00     78.11
15:19:00        all      3.71      0.00     18.74      0.00      0.00     77.54
15:19:01        all      3.52      0.00     17.13      0.00      0.00     79.34
15:19:02        all      3.72      0.00     15.80      0.00      0.00     80.48
15:19:03        all      3.65      0.00     19.04      0.00      0.00     77.30
15:19:04        all      3.80      0.00     18.98      0.00      0.00     77.22
15:19:05        all      3.87      0.00     18.35      0.00      0.00     77.78
15:19:06        all      4.39      0.00     18.32      0.00      0.00     77.29
15:19:07        all      3.30      0.00     15.98      0.00      0.00     80.72
15:19:08        all      3.91      0.00     19.61      0.00      0.00     76.48
15:19:09        all      4.66      0.00     19.42      0.00      0.00     75.93
15:19:10        all      4.07      0.00     19.51      0.00      0.00     76.42
15:19:11        all      3.67      0.00     17.85      0.00      0.00     78.48
15:19:12        all      4.01      0.00     19.05      0.00      0.00     76.94
15:19:13        all      4.05      0.00     19.47      0.00      0.00     76.48
15:19:14        all      3.89      0.00     18.72      0.00      0.00     77.38
15:19:15        all      3.97      0.00     18.37      0.00      0.00     77.66
15:19:16        all      3.62      0.00     18.24      0.00      0.00     78.14
15:19:17        all      4.35      0.00     19.30      0.00      0.00     76.36
15:19:18        all      3.42      0.00     19.50      0.00      0.00     77.08
15:19:19        all      4.44      0.00     18.70      0.00      0.00     76.85
15:19:20        all      4.14      0.00     18.49      0.00      0.00     77.37
15:19:21        all      4.26      0.00     17.23      0.00      0.00     78.51
15:19:22        all      3.51      0.00     18.44      0.00      0.00     78.05
15:19:23        all      4.62      0.00     22.38      0.00      0.00     73.00
15:19:24        all      4.12      0.00     17.39      0.00      0.00     78.49
15:19:25        all      4.30      0.00     19.04      0.00      0.00     76.67
15:19:26        all      3.71      0.00     19.04      0.00      0.00     77.25
15:19:27        all      4.08      0.00     19.77      0.00      0.00     76.15
15:19:28        all      4.30      0.00     17.62      0.00      0.00     78.08
15:19:29        all      4.14      0.00     20.03      0.00      0.00     75.83
Average:        all      3.48      0.00     16.55      0.00      0.00     79.98
