procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95904356  23564 789504    0    0     2    84 33979    6  0  0 100  0  0  0
 0  0      0 95903852  23564 789520    0    0     0     0  577  389  0  0 100  0  0  0
 0  0      0 95903600  23564 789524    0    0     0     0  635  317  0  0 100  0  0  0
 0  0      0 95903096  23564 789528    0    0     0     0  466  302  0  0 100  0  0  0
 0  0      0 95902872  23564 789532    0    0     0     0  343  262  0  0 100  0  0  0
 0  0      0 95902872  23568 789532    0    0     0    11  237  266  0  0 100  0  0  0
 0  0      0 95902872  23568 789532    0    0     0     0   98  118  0  0 100  0  0  0
 7  0      0 95853796  23580 789604    0    0     0   576 49985 45872  0  1 99  0  0  0
12  0      0 95843848  23580 789764    0    0     0     4 1583639 1563502  4 18 79  0  0  0
26  0      0 95841360  23580 789764    0    0     0     0 1605366 1597285  3 17 79  0  0  0
 4  0      0 95838584  23580 789768    0    0     0     0 1611150 1601217  3 17 80  0  0  0
 7  0      0 95835016  23580 789768    0    0     0     0 1589971 1578577  3 17 79  0  0  0
22  0      0 95833264  23580 789768    0    0     0     0 1616656 1609030  3 16 80  0  0  0
 3  0      0 95830556  23580 789768    0    0     0    14 1597952 1588371  3 17 80  0  0  0
 4  0      0 95828720  23580 789772    0    0     0     0 1576833 1562488  4 19 77  0  0  0
 4  0      0 95827160  23580 789772    0    0     0     0 1603285 1591834  4 17 79  0  0  0
19  0      0 95825476  23580 789776    0    0     0     0 1598754 1587693  4 17 79  0  0  0
 5  0      0 95820256  23580 789776    0    0     0     0 1604590 1594335  4 17 79  0  0  0
23  0      0 95819144  23580 789776    0    0     0     5 1582589 1566724  4 18 78  0  0  0
12  0      0 95819952  23580 789776    0    0     0     0 1596959 1585393  4 18 78  0  0  0
 3  0      0 95818728  23580 789776    0    0     0     0 1622087 1612648  3 17 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
