Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:18:17      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:18:18            0       634      1.23      1.28      0.55         0
15:18:19            0       635      1.23      1.28      0.55         0
15:18:20            0       633      1.23      1.28      0.55         0
15:18:21            0       633      1.23      1.28      0.55         0
15:18:22            0       633      1.23      1.28      0.55         0
15:18:23            0       633      1.13      1.26      0.55         0
15:18:24            0       633      1.13      1.26      0.55         0
15:18:25            0       633      1.13      1.26      0.55         0
15:18:26            0       637      1.13      1.26      0.55         0
15:18:27            4       637      1.13      1.26      0.55         0
15:18:28            8       637      1.20      1.27      0.55         0
15:18:29            8       637      1.20      1.27      0.55         0
15:18:30            8       637      1.20      1.27      0.55         0
15:18:31            4       637      1.20      1.27      0.55         0
15:18:32            7       637      1.20      1.27      0.55         0
15:18:33            8       637      1.58      1.35      0.58         0
15:18:34           10       637      1.58      1.35      0.58         0
15:18:35            2       637      1.58      1.35      0.58         0
15:18:36           12       637      1.58      1.35      0.58         0
15:18:37            3       637      1.58      1.35      0.58         0
15:18:38            2       637      2.42      1.52      0.64         0
15:18:39            2       637      2.42      1.52      0.64         0
15:18:40           10       637      2.42      1.52      0.64         0
15:18:41            7       637      2.42      1.52      0.64         0
15:18:42            5       637      2.42      1.52      0.64         0
15:18:43           11       638      3.42      1.75      0.72         0
15:18:44            7       638      3.42      1.75      0.72         0
15:18:45           13       638      3.42      1.75      0.72         0
15:18:46            7       638      3.42      1.75      0.72         0
15:18:47           12       638      3.42      1.75      0.72         0
15:18:48            8       638      3.87      1.87      0.77         0
15:18:49            1       638      3.87      1.87      0.77         0
15:18:50           14       638      3.87      1.87      0.77         0
15:18:51            7       638      3.87      1.87      0.77         0
15:18:52           10       638      3.87      1.87      0.77         0
15:18:53            8       638      4.28      1.99      0.81         0
15:18:54            8       638      4.28      1.99      0.81         0
15:18:55            6       638      4.28      1.99      0.81         0
15:18:56            1       638      4.28      1.99      0.81         0
15:18:57            2       638      4.28      1.99      0.81         0
15:18:58           11       638      4.98      2.17      0.88         0
15:18:59            7       638      4.98      2.17      0.88         0
15:19:00            7       638      4.98      2.17      0.88         0
15:19:01            9       638      4.98      2.17      0.88         0
15:19:02           13       638      4.98      2.17      0.88         0
15:19:03            7       638      4.66      2.15      0.88         0
15:19:04            4       638      4.66      2.15      0.88         0
15:19:05           20       638      4.66      2.15      0.88         0
15:19:06            6       638      4.66      2.15      0.88         0
15:19:07            9       638      4.66      2.15      0.88         0
15:19:08            3       638      4.45      2.15      0.88         0
15:19:09            2       638      4.45      2.15      0.88         0
15:19:10            7       638      4.45      2.15      0.88         0
15:19:11           15       638      4.45      2.15      0.88         0
15:19:12           10       638      4.45      2.15      0.88         0
15:19:13            3       638      5.37      2.38      0.97         0
15:19:14            1       638      5.37      2.38      0.97         0
15:19:15            8       638      5.37      2.38      0.97         0
15:19:16            3       638      5.37      2.38      0.97         0
15:19:17            5       638      5.37      2.38      0.97         0
15:19:18           17       638      5.02      2.36      0.97         0
15:19:19            4       638      5.02      2.36      0.97         0
15:19:20            5       638      5.02      2.36      0.97         0
15:19:21           10       638      5.02      2.36      0.97         0
15:19:22            3       638      5.02      2.36      0.97         0
15:19:23            7       638      4.86      2.37      0.98         0
15:19:24           14       637      4.86      2.37      0.98         0
15:19:25           10       637      4.86      2.37      0.98         0
15:19:26            8       635      4.86      2.37      0.98         0
Average:            6       637      3.44      1.84      0.76         0
