Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:18:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:18:17        all      0.04      0.00      0.04      0.00      0.00     99.92
15:18:18        all      0.08      0.00      0.00      0.00      0.00     99.92
15:18:19        all      0.04      0.00      0.02      0.00      0.00     99.94
15:18:20        all      0.00      0.00      0.02      0.00      0.00     99.98
15:18:21        all      0.02      0.00      0.00      0.00      0.00     99.98
15:18:22        all      0.00      0.00      0.02      0.00      0.00     99.98
15:18:23        all      0.02      0.00      0.00      0.00      0.00     99.98
15:18:24        all      0.02      0.00      0.00      0.00      0.00     99.98
15:18:25        all      0.04      0.00      0.00      0.00      0.00     99.96
15:18:26        all      0.13      0.00      0.15      0.00      0.00     99.73
15:18:27        all      6.53      0.00      9.08      0.00      0.00     84.39
15:18:28        all      8.44      0.00     11.93      0.00      0.00     79.63
15:18:29        all      7.83      0.00     10.72      0.00      0.00     81.46
15:18:30        all      7.90      0.00     11.11      0.00      0.00     80.99
15:18:31        all      7.84      0.00     12.18      0.00      0.00     79.98
15:18:32        all      8.84      0.00     12.58      0.00      0.00     78.57
15:18:33        all      6.99      0.00     10.99      0.02      0.00     81.99
15:18:34        all      8.50      0.00     10.85      0.00      0.00     80.65
15:18:35        all      8.00      0.00     11.99      0.00      0.00     80.01
15:18:36        all      8.59      0.00     11.86      0.00      0.00     79.54
15:18:37        all      5.87      0.00     11.59      0.00      0.00     82.53
15:18:38        all      7.91      0.00     10.57      0.00      0.00     81.52
15:18:39        all      8.39      0.00     11.72      0.00      0.00     79.89
15:18:40        all      8.39      0.00     11.47      0.00      0.00     80.14
15:18:41        all      7.53      0.00     11.63      0.00      0.00     80.83
15:18:42        all      7.06      0.00     11.21      0.00      0.00     81.74
15:18:43        all      8.22      0.00     11.43      0.00      0.00     80.35
15:18:44        all      7.81      0.00     10.62      0.00      0.00     81.57
15:18:45        all      7.42      0.00     12.24      0.00      0.00     80.34
15:18:46        all      8.07      0.00     11.80      0.00      0.00     80.13
15:18:47        all      8.83      0.00     12.51      0.00      0.00     78.66
15:18:48        all      7.98      0.00     11.48      0.00      0.00     80.54
15:18:49        all      7.54      0.00     12.23      0.00      0.00     80.24
15:18:50        all      7.68      0.00     12.02      0.00      0.00     80.31
15:18:51        all      7.70      0.00     12.57      0.00      0.00     79.72
15:18:52        all      7.56      0.00     11.97      0.00      0.00     80.47
15:18:53        all      8.96      0.00     11.49      0.00      0.00     79.54
15:18:54        all      8.45      0.00     11.72      0.00      0.00     79.83
15:18:55        all      8.21      0.00     11.14      0.00      0.00     80.66
15:18:56        all      8.13      0.00     11.64      0.00      0.00     80.22
15:18:57        all      8.34      0.00     11.21      0.00      0.00     80.45
15:18:58        all      7.91      0.00     11.97      0.00      0.00     80.12
15:18:59        all      7.47      0.00     11.77      0.02      0.00     80.74
15:19:00        all      7.65      0.00     11.58      0.00      0.00     80.77
15:19:01        all      8.05      0.00     12.19      0.00      0.00     79.76
15:19:02        all      9.04      0.00     11.73      0.00      0.00     79.23
15:19:03        all      7.81      0.00     11.83      0.02      0.00     80.33
15:19:04        all      7.65      0.00     10.99      0.02      0.00     81.34
15:19:05        all      8.90      0.00     10.36      0.00      0.00     80.74
15:19:06        all      7.90      0.00     11.57      0.00      0.00     80.53
15:19:07        all      7.36      0.00     10.70      0.00      0.00     81.94
15:19:08        all      8.37      0.00     11.04      0.11      0.00     80.48
15:19:09        all      7.95      0.00     11.41      0.00      0.00     80.64
15:19:10        all      7.81      0.00     11.89      0.00      0.00     80.30
15:19:11        all      8.30      0.00     12.18      0.00      0.00     79.52
15:19:12        all      8.41      0.00     12.31      0.00      0.00     79.28
15:19:13        all      8.45      0.00     11.48      0.00      0.00     80.07
15:19:14        all      7.75      0.00     11.17      0.00      0.00     81.08
15:19:15        all      8.80      0.00     12.35      0.00      0.00     78.86
15:19:16        all      7.90      0.00     11.64      0.00      0.00     80.46
15:19:17        all      8.04      0.00     12.15      0.00      0.00     79.81
15:19:18        all      8.00      0.00     10.90      0.00      0.00     81.10
15:19:19        all      8.23      0.00     11.59      0.00      0.00     80.18
15:19:20        all      8.19      0.00     12.48      0.00      0.00     79.33
15:19:21        all      7.87      0.00     10.93      0.00      0.00     81.21
15:19:22        all      7.77      0.00     11.61      0.00      0.00     80.62
15:19:23        all      7.87      0.00     10.98      0.00      0.00     81.15
15:19:24        all      8.39      0.00     11.81      0.00      0.00     79.80
15:19:25        all      7.47      0.00     11.37      0.00      0.00     81.15
Average:        all      6.80      0.00      9.84      0.00      0.00     83.35
