procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95514300  25140 1027216    0    0     2   588 29147    3  0  0 99  0  0  0
 0  0      0 95514060  25140 1027224    0    0     0     0  751  433  0  0 100  0  0  0
 0  0      0 95513808  25140 1027232    0    0     0    20  781  530  0  0 100  0  0  0
 0  0      0 95512852  25140 1027240    0    0     0     0  629  417  0  0 100  0  0  0
 0  0      0 95512096  25140 1027244    0    0     0     0  316  224  0  0 100  0  0  0
 0  0      0 95511844  25140 1027260    0    0     0     0  200  215  0  0 100  0  0  0
 0  0      0 95511844  25140 1027280    0    0     0     0  104  117  0  0 100  0  0  0
 0  0      0 95511844  25140 1027300    0    0     0    12  123  133  0  0 100  0  0  0
 0  0      0 95511844  25140 1027316    0    0     0     0  130  165  0  0 100  0  0  0
 0  0      0 95511844  25140 1027340    0    0     0     0  219  247  0  0 100  0  0  0
 1  0      0 95509076  25140 1027360    0    0     0     0  604  272  0  0 100  0  0  0
 5  0      0 95422488  25140 1028268    0    0     0     0 193419 47133  1  2 97  0  0  0
 1  0      0 95420388  25140 1028328    0    0     0   306 1101061 248199  8 11 81  0  0  0
 8  0      0 95418876  25140 1028352    0    0     0    19 1103902 250860  8 12 80  0  0  0
 5  0      0 95418116  25140 1028372    0    0     0     0 1099619 248688  7 10 82  0  0  0
 5  0      0 95417104  25140 1028392    0    0     0     0 1100024 249390  8 12 80  0  0  0
 6  0      0 95416348  25140 1028412    0    0     0     0 1101226 248217  9 12 79  0  0  0
 4  0      0 95417616  25140 1028432    0    0     0     0 1102185 248278  8 13 80  0  0  0
 8  0      0 95402024  25140 1043328    0    0     0     7 1097130 250655  8 11 82  0  0  0
 9  0      0 95399492  25140 1045536    0    0     0     0 1100586 251114  8 11 81  0  0  0
 7  0      0 95398232  25140 1046276    0    0     0     0 1101770 253300  8 12 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
