Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:21:17      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:21:18            0       574      0.74      1.60      0.86         0
15:21:19            0       572      0.74      1.60      0.86         0
15:21:20            0       572      0.74      1.60      0.86         0
15:21:21            0       572      0.74      1.60      0.86         0
15:21:22           15       693      0.74      1.60      0.86         0
15:21:23           14       693      1.16      1.68      0.88         0
15:21:24           14       693      1.16      1.68      0.88         0
15:21:25            4       693      1.16      1.68      0.88         0
15:21:26            8       693      1.16      1.68      0.88         0
15:21:27            5       694      1.16      1.68      0.88         0
15:21:28           13       694      2.35      1.92      0.97         0
15:21:29           14       694      2.35      1.92      0.97         0
15:21:30            5       694      2.35      1.92      0.97         0
15:21:31           15       694      2.35      1.92      0.97         0
15:21:32            4       694      2.35      1.92      0.97         0
15:21:33           16       694      2.24      1.90      0.97         0
15:21:34            0       694      2.24      1.90      0.97         0
15:21:35           22       692      2.24      1.90      0.97         0
15:21:36            5       692      2.24      1.90      0.97         0
15:21:37           11       692      2.24      1.90      0.97         0
15:21:38            1       692      3.26      2.12      1.04         0
15:21:39            7       692      3.26      2.12      1.04         0
15:21:40           19       692      3.26      2.12      1.04         0
15:21:41            3       692      3.26      2.12      1.04         0
15:21:42            6       692      3.26      2.12      1.04         0
15:21:43            7       692      3.96      2.28      1.10         0
15:21:44            7       692      3.96      2.28      1.10         0
15:21:45            0       692      3.96      2.28      1.10         0
15:21:46            5       692      3.96      2.28      1.10         0
15:21:47           18       692      3.96      2.28      1.10         0
15:21:48            7       692      4.53      2.43      1.15         0
15:21:49            0       692      4.53      2.43      1.15         0
15:21:50            7       692      4.53      2.43      1.15         0
15:21:51            5       692      4.53      2.43      1.15         0
15:21:52           13       693      4.53      2.43      1.15         0
15:21:53           10       693      4.57      2.47      1.18         0
15:21:54            9       693      4.57      2.47      1.18         0
15:21:55            5       693      4.57      2.47      1.18         0
15:21:56           20       693      4.57      2.47      1.18         0
15:21:57           10       693      4.57      2.47      1.18         0
15:21:58           10       693      4.28      2.45      1.17         0
15:21:59            2       693      4.28      2.45      1.17         0
15:22:00           20       693      4.28      2.45      1.17         0
15:22:01            1       693      4.28      2.45      1.17         0
15:22:02           14       693      4.28      2.45      1.17         0
15:22:03            5       693      3.94      2.40      1.17         0
15:22:04           14       693      3.94      2.40      1.17         0
15:22:05            7       693      3.94      2.40      1.17         0
15:22:06           21       693      3.94      2.40      1.17         0
15:22:07            1       693      3.94      2.40      1.17         0
15:22:08           10       693      4.58      2.56      1.23         0
15:22:09           19       693      4.58      2.56      1.23         0
15:22:10            9       693      4.58      2.56      1.23         0
15:22:11            7       693      4.58      2.56      1.23         0
15:22:12            5       693      4.58      2.56      1.23         0
15:22:13            4       693      4.70      2.62      1.25         0
15:22:14            6       693      4.70      2.62      1.25         0
15:22:15            6       693      4.70      2.62      1.25         0
15:22:16            3       693      4.70      2.62      1.25         0
15:22:17           25       693      4.70      2.62      1.25         0
15:22:18            5       693      4.40      2.59      1.25         0
15:22:19           10       693      4.40      2.59      1.25         0
15:22:20            8       693      4.40      2.59      1.25         0
15:22:21            9       693      4.40      2.59      1.25         0
15:22:22            7       693      4.40      2.59      1.25         0
15:22:23           10       693      5.25      2.80      1.33         0
15:22:24            4       692      5.25      2.80      1.33         0
15:22:25           14       692      5.25      2.80      1.33         0
15:22:26            7       690      5.25      2.80      1.33         0
Average:            9       686      3.54      2.27      1.11         0
