Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:21:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:21:17        all      0.06      0.00      0.00      0.00      0.00     99.94
15:21:18        all      0.04      0.00      0.04      0.00      0.00     99.92
15:21:19        all      0.02      0.00      0.00      0.00      0.00     99.98
15:21:20        all      0.00      0.00      0.00      0.00      0.00    100.00
15:21:21        all      0.00      0.00      0.02      0.02      0.00     99.96
15:21:22        all      1.17      0.00      5.66      0.08      0.00     93.08
15:21:23        all      3.85      0.00     17.42      0.00      0.00     78.73
15:21:24        all      3.89      0.00     17.12      0.00      0.00     78.99
15:21:25        all      4.48      0.00     17.63      0.00      0.00     77.89
15:21:26        all      3.29      0.00     17.55      0.00      0.00     79.16
15:21:27        all      3.55      0.00     18.50      0.00      0.00     77.95
15:21:28        all      3.28      0.00     16.37      0.00      0.00     80.35
15:21:29        all      4.48      0.00     19.32      0.00      0.00     76.20
15:21:30        all      3.34      0.00     17.45      0.00      0.00     79.21
15:21:31        all      4.17      0.00     18.59      0.00      0.00     77.23
15:21:32        all      3.72      0.00     17.26      0.00      0.00     79.02
15:21:33        all      3.50      0.00     16.27      0.00      0.00     80.23
15:21:34        all      3.74      0.00     17.69      0.00      0.00     78.57
15:21:35        all      3.33      0.00     18.72      0.00      0.00     77.96
15:21:36        all      4.07      0.00     18.12      0.00      0.00     77.80
15:21:37        all      4.20      0.00     19.32      0.00      0.00     76.48
15:21:38        all      4.44      0.00     18.38      0.02      0.00     77.16
15:21:39        all      3.67      0.00     17.33      0.00      0.00     79.00
15:21:40        all      3.68      0.00     17.64      0.00      0.00     78.68
15:21:41        all      3.74      0.00     19.97      0.00      0.00     76.29
15:21:42        all      3.58      0.00     18.27      0.00      0.00     78.15
15:21:43        all      4.23      0.00     19.72      0.00      0.00     76.05
15:21:44        all      3.76      0.00     17.56      0.00      0.00     78.68
15:21:45        all      3.41      0.00     19.27      0.00      0.00     77.33
15:21:46        all      3.66      0.00     18.63      0.00      0.00     77.72
15:21:47        all      3.60      0.00     16.58      0.00      0.00     79.82
15:21:48        all      3.24      0.00     16.06      0.00      0.00     80.70
15:21:49        all      3.75      0.00     19.57      0.00      0.00     76.68
15:21:50        all      3.42      0.00     18.49      0.00      0.00     78.09
15:21:51        all      4.34      0.00     19.35      0.00      0.00     76.31
15:21:52        all      3.87      0.00     17.45      0.00      0.00     78.68
15:21:53        all      3.65      0.00     18.05      0.02      0.00     78.28
15:21:54        all      3.69      0.00     18.38      0.00      0.00     77.93
15:21:55        all      3.74      0.00     17.51      0.00      0.00     78.75
15:21:56        all      3.93      0.00     18.19      0.00      0.00     77.88
15:21:57        all      3.82      0.00     17.73      0.00      0.00     78.45
15:21:58        all      3.79      0.00     18.64      0.00      0.00     77.57
15:21:59        all      3.67      0.00     18.68      0.00      0.00     77.65
15:22:00        all      4.37      0.00     19.05      0.00      0.00     76.58
15:22:01        all      3.93      0.00     18.72      0.00      0.00     77.34
15:22:02        all      4.04      0.00     17.80      0.00      0.00     78.16
15:22:03        all      4.39      0.00     18.46      0.00      0.00     77.15
15:22:04        all      4.36      0.00     19.77      0.00      0.00     75.87
15:22:05        all      3.74      0.00     17.84      0.00      0.00     78.42
15:22:06        all      3.65      0.00     18.58      0.00      0.00     77.77
15:22:07        all      4.33      0.00     19.91      0.00      0.00     75.76
15:22:08        all      3.53      0.00     18.48      0.00      0.00     77.99
15:22:09        all      3.62      0.00     18.40      0.00      0.00     77.97
15:22:10        all      3.62      0.00     19.15      0.00      0.00     77.23
15:22:11        all      3.78      0.00     18.14      0.00      0.00     78.08
15:22:12        all      3.72      0.00     16.90      0.00      0.00     79.38
15:22:13        all      3.68      0.00     19.37      0.00      0.00     76.95
15:22:14        all      3.87      0.00     19.13      0.00      0.00     77.00
15:22:15        all      3.62      0.00     18.35      0.00      0.00     78.02
15:22:16        all      4.01      0.00     18.41      0.00      0.00     77.59
15:22:17        all      4.36      0.00     19.06      0.00      0.00     76.58
15:22:18        all      3.99      0.00     17.93      0.00      0.00     78.07
15:22:19        all      4.08      0.00     19.06      0.00      0.00     76.86
15:22:20        all      4.32      0.00     18.60      0.00      0.00     77.08
15:22:21        all      3.98      0.00     20.25      0.00      0.00     75.77
15:22:22        all      3.82      0.00     19.20      0.00      0.00     76.99
15:22:23        all      4.19      0.00     19.21      0.00      0.00     76.60
15:22:24        all      3.80      0.00     18.27      0.00      0.00     77.93
15:22:25        all      4.12      0.00     19.29      0.00      0.00     76.59
Average:        all      3.52      0.00     16.77      0.00      0.00     79.71
