procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95899300  23608 789612    0    0     2    84 37199    7  0  0 99  0  0  0
 0  0      0 95898572  23608 789620    0    0     0     0  759  423  0  0 100  0  0  0
 0  0      0 95898068  23608 789624    0    0     0     0  488  292  0  0 100  0  0  0
 0  0      0 95897828  23608 789632    0    0     0     0  647  388  0  0 100  0  0  0
 0  0      0 95897828  23608 789636    0    0     0     0  153  144  0  0 100  0  0  0
 0  0      0 95897828  23608 789636    0    0     0    11  205  236  0  0 100  0  0  0
 0  0      0 95897576  23608 789636    0    0     0     0  273  185  0  0 100  0  0  0
 6  0      0 95854256  23632 789912    0    0     0   572 976363 958441  2 11 86  0  0  0
19  0      0 95850368  23632 789920    0    0     0     0 1576975 1547042  4 17 79  0  0  0
 6  0      0 95849072  23632 789920    0    0     0     0 1589464 1563840  4 16 80  0  0  0
18  0      0 95844200  23632 789924    0    0     0     0 1571968 1543128  4 19 77  0  0  0
10  0      0 95843136  23632 789924    0    0     0     0 1598696 1573651  3 17 79  0  0  0
25  0      0 95840128  23640 789924    0    0     0    13 1562360 1529453  3 19 78  0  0  0
14  0      0 95847816  23640 789924    0    0     0     0 1571976 1539262  4 17 79  0  0  0
 6  0      0 95852992  23640 789928    0    0     0     0 1595981 1568972  4 19 78  0  0  0
 9  0      0 95850108  23640 789928    0    0     0     0 1565629 1533798  4 18 78  0  0  0
 8  0      0 95854516  23640 789932    0    0     0     0 1576465 1546506  4 18 78  0  0  0
10  0      0 95850524  23640 789932    0    0     0     5 1610264 1586829  3 17 80  0  0  0
 9  0      0 95847584  23640 789932    0    0     0     0 1582655 1548786  4 18 78  0  0  0
 7  0      0 95846108  23640 789932    0    0     0     0 1594368 1563972  4 17 79  0  0  0
 0  0      0 95846044  23640 789932    0    0     0     0 1559130 1522877  3 19 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 95845868  23640 789932    0    0     0     0 1572999 1539090  4 18 77  0  0  0
17  0      0 95846992  23640 789932    0    0     0     5 1583247 1552246  4 19 77  0  0  0
19  0      0 95848176  23640 789936    0    0     0     0 1572279 1541962  4 18 78  0  0  0
15  0      0 95847860  23640 789936    0    0     0     0 1582030 1551447  4 18 78  0  0  0
 1  0      0 95845972  23640 789936    0    0     0     0 1565036 1532566  4 18 78  0  0  0
10  0      0 95849728  23640 789940    0    0     0     0 1572561 1540772  4 20 77  0  0  0
 1  0      0 95850908  23644 789936    0    0     0     5 1597109 1568326  4 18 78  0  0  0
18  0      0 95849460  23644 789940    0    0     0     0 1589238 1559488  4 19 76  0  0  0
12  0      0 95845044  23644 789944    0    0     0     0 1565001 1533669  4 19 78  0  0  0
15  0      0 95845452  23644 789944    0    0     0     0 1585398 1554543  3 18 79  0  0  0
15  0      0 95848964  23644 789944    0    0     0     0 1568336 1533973  4 19 77  0  0  0
14  0      0 95851556  23644 789944    0    0     0     0 1567390 1535213  4 16 80  0  0  0
