Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:21:13      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:21:14            0       624      0.87      1.71      0.89         0
15:21:15            0       625      0.87      1.71      0.89         0
15:21:16            0       623      0.87      1.71      0.89         0
15:21:17            0       623      0.87      1.71      0.89         0
15:21:18            0       623      0.80      1.68      0.89         0
15:21:19            0       623      0.80      1.68      0.89         0
15:21:20            0       623      0.80      1.68      0.89         0
15:21:21            0       625      0.80      1.68      0.89         0
15:21:22           10       627      0.80      1.68      0.89         0
15:21:23            6       627      0.90      1.68      0.90         0
15:21:24           14       627      0.90      1.68      0.90         0
15:21:25           11       627      0.90      1.68      0.90         0
15:21:26            3       627      0.90      1.68      0.90         0
15:21:27           22       627      0.90      1.68      0.90         0
15:21:28            6       627      2.35      1.97      0.99         0
15:21:29           11       627      2.35      1.97      0.99         0
15:21:30           14       627      2.35      1.97      0.99         0
15:21:31            1       627      2.35      1.97      0.99         0
15:21:32            4       627      2.35      1.97      0.99         0
15:21:33           10       627      2.24      1.95      0.99         0
15:21:34           15       627      2.24      1.95      0.99         0
15:21:35            3       627      2.24      1.95      0.99         0
15:21:36           13       627      2.24      1.95      0.99         0
15:21:37           17       627      2.24      1.95      0.99         0
15:21:38            4       627      2.14      1.94      0.99         0
15:21:39            5       628      2.14      1.94      0.99         0
15:21:40            4       628      2.14      1.94      0.99         0
15:21:41           13       628      2.14      1.94      0.99         0
15:21:42            3       628      2.14      1.94      0.99         0
15:21:43            1       628      2.37      1.99      1.02         0
15:21:44            9       628      2.37      1.99      1.02         0
15:21:45           17       628      2.37      1.99      1.02         0
15:21:46           20       628      2.37      1.99      1.02         0
15:21:47            7       628      2.37      1.99      1.02         0
15:21:48           15       628      3.86      2.31      1.12         0
15:21:49           11       628      3.86      2.31      1.12         0
15:21:50           14       628      3.86      2.31      1.12         0
15:21:51           19       628      3.86      2.31      1.12         0
15:21:52            3       628      3.86      2.31      1.12         0
15:21:53            1       628      3.87      2.33      1.14         0
15:21:54           17       628      3.87      2.33      1.14         0
15:21:55            5       628      3.87      2.33      1.14         0
15:21:56            7       627      3.87      2.33      1.14         0
15:21:57           11       627      3.87      2.33      1.14         0
15:21:58            1       627      4.36      2.46      1.19         0
15:21:59           10       627      4.36      2.46      1.19         0
15:22:00           15       627      4.36      2.46      1.19         0
15:22:01            1       627      4.36      2.46      1.19         0
15:22:02            1       627      4.36      2.46      1.19         0
15:22:03            4       627      4.73      2.57      1.23         0
15:22:04            8       627      4.73      2.57      1.23         0
15:22:05            5       627      4.73      2.57      1.23         0
15:22:06           11       627      4.73      2.57      1.23         0
15:22:07            1       627      4.73      2.57      1.23         0
15:22:08            4       627      5.24      2.71      1.28         0
15:22:09           19       628      5.24      2.71      1.28         0
15:22:10           15       628      5.24      2.71      1.28         0
15:22:11           12       628      5.24      2.71      1.28         0
15:22:12           16       628      5.24      2.71      1.28         0
15:22:13            2       628      5.78      2.86      1.34         0
15:22:14            7       628      5.78      2.86      1.34         0
15:22:15           16       628      5.78      2.86      1.34         0
15:22:16           11       628      5.78      2.86      1.34         0
15:22:17           17       628      5.78      2.86      1.34         0
15:22:18            3       628      6.28      3.02      1.40         0
15:22:19            9       628      6.28      3.02      1.40         0
15:22:20            8       627      6.28      3.02      1.40         0
15:22:21            9       627      6.28      3.02      1.40         0
15:22:22           17       625      6.28      3.02      1.40         0
Average:            8       627      3.31      2.23      1.10         0
