Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:21:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:21:13        all      0.10      0.00      0.00      0.00      0.00     99.90
15:21:14        all      0.04      0.00      0.02      0.00      0.00     99.94
15:21:15        all      0.04      0.00      0.00      0.00      0.00     99.96
15:21:16        all      0.00      0.00      0.00      0.00      0.00    100.00
15:21:17        all      0.00      0.00      0.00      0.00      0.00    100.00
15:21:18        all      0.00      0.00      0.00      0.00      0.00    100.00
15:21:19        all      0.00      0.00      0.00      0.00      0.00    100.00
15:21:20        all      0.00      0.00      0.00      0.00      0.00    100.00
15:21:21        all      0.10      0.00      0.19      0.00      0.00     99.71
15:21:22        all      4.75      0.00      4.86      0.00      0.00     90.39
15:21:23        all     11.82      0.00     11.24      0.00      0.00     76.95
15:21:24        all     12.84      0.00     11.83      0.00      0.00     75.33
15:21:25        all     11.85      0.00     11.40      0.00      0.00     76.75
15:21:26        all     10.68      0.00     11.03      0.00      0.00     78.30
15:21:27        all     12.77      0.00     11.69      0.00      0.00     75.54
15:21:28        all     11.81      0.00     11.92      0.00      0.00     76.27
15:21:29        all     12.86      0.00     11.27      0.00      0.00     75.87
15:21:30        all     11.26      0.00     12.01      0.00      0.00     76.73
15:21:31        all     13.01      0.00     11.55      0.00      0.00     75.43
15:21:32        all     12.38      0.00     12.52      0.00      0.00     75.10
15:21:33        all     11.97      0.00     11.35      0.00      0.00     76.68
15:21:34        all     11.54      0.00     10.71      0.00      0.00     77.75
15:21:35        all     12.45      0.00     11.43      0.00      0.00     76.12
15:21:36        all     13.16      0.00     11.01      0.00      0.00     75.83
15:21:37        all     13.39      0.00     11.54      0.00      0.00     75.06
15:21:38        all     11.93      0.00     12.42      0.00      0.00     75.65
15:21:39        all     11.38      0.00     11.81      0.00      0.00     76.81
15:21:40        all     13.09      0.00     12.13      0.00      0.00     74.78
15:21:41        all     11.82      0.00     11.45      0.00      0.00     76.73
15:21:42        all     11.30      0.00     11.48      0.00      0.00     77.22
15:21:43        all     12.15      0.00     10.90      0.00      0.00     76.95
15:21:44        all     12.31      0.00     11.56      0.00      0.00     76.13
15:21:45        all     12.15      0.00     10.11      0.00      0.00     77.73
15:21:46        all     11.57      0.00     11.27      0.00      0.00     77.16
15:21:47        all     12.59      0.00     10.78      0.00      0.00     76.63
15:21:48        all     11.94      0.00     10.99      0.00      0.00     77.07
15:21:49        all     12.90      0.00     11.71      0.00      0.00     75.39
15:21:50        all     12.99      0.00     11.09      0.00      0.00     75.92
15:21:51        all     11.62      0.00     11.27      0.00      0.00     77.11
15:21:52        all     12.49      0.00     11.12      0.00      0.00     76.39
15:21:53        all     12.25      0.00     11.50      0.00      0.00     76.25
15:21:54        all     11.59      0.00     10.96      0.20      0.00     77.25
15:21:55        all     11.05      0.00     10.59      0.00      0.00     78.36
15:21:56        all     11.76      0.00     10.55      0.00      0.00     77.69
15:21:57        all     12.18      0.00     12.05      0.00      0.00     75.76
15:21:58        all     13.65      0.00     11.05      0.00      0.00     75.31
15:21:59        all     11.21      0.00     10.75      0.00      0.00     78.04
15:22:00        all     11.41      0.00     10.64      0.00      0.00     77.95
15:22:01        all     11.32      0.00     11.19      0.00      0.00     77.49
15:22:02        all     11.45      0.00     11.26      0.00      0.00     77.29
15:22:03        all     11.18      0.00     10.59      0.00      0.00     78.22
15:22:04        all     12.58      0.00     11.78      0.00      0.00     75.64
15:22:05        all     11.87      0.00     10.85      0.00      0.00     77.29
15:22:06        all     10.84      0.00     10.55      0.00      0.00     78.61
15:22:07        all     11.62      0.00     10.44      0.00      0.00     77.94
15:22:08        all     11.32      0.00     10.71      0.00      0.00     77.97
15:22:09        all     12.08      0.00     11.65      0.00      0.00     76.27
15:22:10        all     11.29      0.00     10.90      0.00      0.00     77.81
15:22:11        all     13.44      0.00     11.91      0.00      0.00     74.65
15:22:12        all     11.13      0.00     10.63      0.00      0.00     78.24
15:22:13        all     11.81      0.00     10.66      0.00      0.00     77.53
15:22:14        all     11.28      0.00     11.08      0.00      0.00     77.64
15:22:15        all     12.14      0.00     11.67      0.00      0.00     76.18
15:22:16        all     12.57      0.00     11.01      0.00      0.00     76.42
15:22:17        all     12.06      0.00     11.48      0.00      0.00     76.45
15:22:18        all     11.68      0.00     10.72      0.00      0.00     77.61
15:22:19        all     11.83      0.00     11.16      0.00      0.00     77.02
15:22:20        all     12.96      0.00     11.61      0.00      0.00     75.44
15:22:21        all     11.65      0.00     11.43      0.00      0.00     76.92
Average:        all     10.31      0.00      9.66      0.00      0.00     80.02
