procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95372396  25156 1175120    0    0     2   609 31355    3  0  0 99  0  0  0
 0  0      0 95371640  25156 1175128    0    0     0     0  748  429  0  0 100  0  0  0
 0  0      0 95371640  25156 1175136    0    0     0    19  863  572  0  0 100  0  0  0
 0  0      0 95370924  25156 1175140    0    0     0     0  678  425  0  0 100  0  0  0
 0  0      0 95370448  25156 1175208    0    0     0     0  297  225  0  0 100  0  0  0
 0  0      0 95370448  25156 1175224    0    0     0     0  209  228  0  0 100  0  0  0
 0  0      0 95370448  25156 1175244    0    0     0     0  112  124  0  0 100  0  0  0
 0  0      0 95370448  25156 1175264    0    0     0    12  171  223  0  0 100  0  0  0
 0  0      0 95370448  25156 1175280    0    0     0     0  123  159  0  0 100  0  0  0
 0  0      0 95370196  25156 1175304    0    0     0     0  321  267  0  0 100  0  0  0
 0  0      0 95282848  25156 1176192    0    0     0     0 5198  416  0  0 100  0  0  0
19  0      0 95268508  25156 1176272    0    0     0     0 843326 200076 10  9 81  0  0  0
 9  0      0 95265340  25156 1176292    0    0     0     0 1075762 252416 12 11 76  0  0  0
 1  0      0 95266960  25156 1176316    0    0     0    13 1075147 253637 12 12 76  0  0  0
 6  0      0 95266748  25156 1176336    0    0     0     0 1074338 253377 12 11 77  0  0  0
 6  0      0 95256764  25156 1188736    0    0     0     0 1074492 252925 11 11 78  0  0  0
 7  0      0 95250376  25156 1190872    0    0     0     0 1071723 251953 13 12 75  0  0  0
14  0      0 95249500  25156 1193824    0    0     0     0 1071866 251861 12 12 76  0  0  0
10  0      0 95246104  25156 1195440    0    0     0     8 1080047 253186 12 11 77  0  0  0
 9  0      0 95242588  25156 1199216    0    0     0     0 1074530 254332 12 12 76  0  0  0
21  0      0 95238156  25156 1201032    0    0     0     0 1081039 254709 12 12 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0      0 95237456  25156 1204080    0    0     0     0 1084653 255190 12 12 75  0  0  0
 3  0      0 95230968  25156 1207472    0    0     0     0 1082220 256230 12 11 78  0  0  0
14  0      0 95228552  25156 1209768    0    0     0     8 1079381 254439 12 11 76  0  0  0
 9  0      0 95225156  25156 1212076    0    0     0     0 1080674 256338 13 11 76  0  0  0
15  0      0 95221484  25156 1215112    0    0     0     0 1085599 257915 14 11 75  0  0  0
 1  0      0 95218936  25156 1217760    0    0     0     0 1081972 255154 13 12 75  0  0  0
 9  0      0 95217612  25156 1219824    0    0     0    11 1079685 255394 11 12 77  0  0  0
13  0      0 95212600  25156 1222328    0    0     0    18 1082033 256515 12 12 76  0  0  0
 8  0      0 95214232  25156 1225232    0    0     0     0 1083055 257938 13 12 75  0  0  0
 9  0      0 95212028  25156 1227332    0    0     0     0 1082523 257568 12 11 77  0  0  0
19  0      0 95209368  25156 1230220    0    0     0     0 1085209 257863 11 11 77  0  0  0
 7  0      0 95201524  25156 1232904    0    0     0    10 1087797 258437 13 11 76  0  0  0
13  0      0 95199244  25156 1235756    0    0     0    10 1081207 258899 12 10 78  0  0  0
16  0      0 95201916  25156 1238056    0    0     0     0 1084193 257652 13 11 76  0  0  0
17  0      0 95198240  25156 1240368    0    0     0     0 1084252 257996 12 11 77  0  0  0
 1  0      0 95193712  25156 1242996    0    0     0     0 1083177 257777 12 11 77  0  0  0
 4  0      0 95191520  25156 1245344    0    0     0   657 1080974 257910 12 11 77  0  0  0
 7  0      0 95188816  25156 1248088    0    0     0    12 1082435 257993 13 12 75  0  0  0
18  0      0 95183600  25156 1250224    0    0     0     0 1077616 257448 13 11 76  0  0  0
12  0      0 95182544  25156 1252752    0    0     0     0 1082648 256888 12 11 76  0  0  0
 6  0      0 95184396  25156 1255828    0    0     0     0 1082455 258435 13 11 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  1      0 95180556  25156 1258316    0    0     0 53248 1084890 257656 11 12 77  0  0  0
