Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:15:23      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:15:24            0       578      0.00      0.00      0.00         0
15:15:25            0       577      0.00      0.00      0.00         0
15:15:26            0       577      0.00      0.00      0.00         0
15:15:27            0       577      0.00      0.00      0.00         0
15:15:28            6       700      0.00      0.00      0.00         0
15:15:29           21       700      0.00      0.00      0.00         0
15:15:30           12       700      0.00      0.00      0.00         0
15:15:31            1       700      0.00      0.00      0.00         0
15:15:32            7       700      0.00      0.00      0.00         0
15:15:33           10       700      1.04      0.22      0.07         0
15:15:34            8       700      1.04      0.22      0.07         0
15:15:35           16       700      1.04      0.22      0.07         0
15:15:36           20       700      1.04      0.22      0.07         0
15:15:37           11       700      1.04      0.22      0.07         0
15:15:38            1       700      1.04      0.23      0.08         0
15:15:39            8       700      1.04      0.23      0.08         0
15:15:40           21       700      1.04      0.23      0.08         0
15:15:41           21       700      1.04      0.23      0.08         0
15:15:42           11       700      1.04      0.23      0.08         0
15:15:43            8       700      1.60      0.36      0.12         0
15:15:44           15       700      1.60      0.36      0.12         0
15:15:45            1       700      1.60      0.36      0.12         0
15:15:46           19       700      1.60      0.36      0.12         0
15:15:47           10       700      1.60      0.36      0.12         0
15:15:48           14       700      2.19      0.50      0.17         0
15:15:49           20       700      2.19      0.50      0.17         0
15:15:50            5       700      2.19      0.50      0.17         0
15:15:51           18       700      2.19      0.50      0.17         0
15:15:52           13       700      2.19      0.50      0.17         0
15:15:53           18       700      2.89      0.68      0.22         0
15:15:54           10       700      2.89      0.68      0.22         0
15:15:55           18       700      2.89      0.68      0.22         0
15:15:56           10       700      2.89      0.68      0.22         0
15:15:57           10       700      2.89      0.68      0.22         0
15:15:58           11       701      3.38      0.81      0.27         0
15:15:59           25       701      3.38      0.81      0.27         0
15:16:00           14       701      3.38      0.81      0.27         0
15:16:01           11       701      3.38      0.81      0.27         0
15:16:02            1       701      3.38      0.81      0.27         0
15:16:03            6       701      4.79      1.15      0.38         0
15:16:04           23       701      4.79      1.15      0.38         0
15:16:05           20       701      4.79      1.15      0.38         0
15:16:06           11       701      4.79      1.15      0.38         0
15:16:07           17       701      4.79      1.15      0.38         0
15:16:08            1       701      4.89      1.23      0.41         0
15:16:09           10       701      4.89      1.23      0.41         0
15:16:10           22       701      4.89      1.23      0.41         0
15:16:11            3       701      4.89      1.23      0.41         0
15:16:12           24       701      4.89      1.23      0.41         0
15:16:13           22       701      4.90      1.29      0.44         0
15:16:14           23       701      4.90      1.29      0.44         0
15:16:15           12       701      4.90      1.29      0.44         0
15:16:16            8       701      4.90      1.29      0.44         0
15:16:17           14       701      4.90      1.29      0.44         0
15:16:18            7       701      4.91      1.36      0.46         0
15:16:19            8       701      4.91      1.36      0.46         0
15:16:20            3       701      4.91      1.36      0.46         0
15:16:21            6       701      4.91      1.36      0.46         0
15:16:22           12       701      4.91      1.36      0.46         0
15:16:23           10       701      6.12      1.67      0.57         0
15:16:24           14       701      6.12      1.67      0.57         0
15:16:25           22       701      6.12      1.67      0.57         0
15:16:26           19       701      6.12      1.67      0.57         0
15:16:27           17       701      6.12      1.67      0.57         0
15:16:28            3       701      5.63      1.64      0.57         0
15:16:29            8       701      5.63      1.64      0.57         0
15:16:30            0       700      5.63      1.64      0.57         0
15:16:31           21       700      5.63      1.64      0.57         0
15:16:32            9       698      5.63      1.64      0.57         0
Average:           12       693      3.14      0.81      0.27         0
