Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

15:15:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:15:23        all      0.08      0.00      0.02      0.00      0.00     99.90
15:15:24        all      0.06      0.00      0.02      0.00      0.00     99.92
15:15:25        all      0.00      0.00      0.00      0.00      0.00    100.00
15:15:26        all      0.00      0.00      0.00      0.00      0.00    100.00
15:15:27        all      0.04      0.00      0.02      0.00      0.00     99.94
15:15:28        all      2.87      0.00     13.06      0.08      0.00     83.98
15:15:29        all      4.17      0.00     20.19      0.00      0.00     75.64
15:15:30        all      4.42      0.00     21.01      0.00      0.00     74.57
15:15:31        all      4.01      0.00     19.87      0.00      0.00     76.12
15:15:32        all      4.74      0.00     21.29      0.00      0.00     73.97
15:15:33        all      4.41      0.00     19.70      0.00      0.00     75.89
15:15:34        all      4.45      0.00     19.53      0.00      0.00     76.02
15:15:35        all      4.03      0.00     20.20      0.00      0.00     75.77
15:15:36        all      4.42      0.00     18.59      0.00      0.00     76.99
15:15:37        all      4.55      0.00     20.75      0.00      0.00     74.70
15:15:38        all      4.12      0.00     20.77      0.00      0.00     75.12
15:15:39        all      4.46      0.00     19.17      0.00      0.00     76.37
15:15:40        all      4.09      0.00     20.17      0.00      0.00     75.74
15:15:41        all      4.52      0.00     19.44      0.00      0.00     76.04
15:15:42        all      4.77      0.00     20.91      0.00      0.00     74.32
15:15:43        all      4.08      0.00     18.83      0.00      0.00     77.09
15:15:44        all      4.86      0.00     20.04      0.00      0.00     75.10
15:15:45        all      3.98      0.00     20.90      0.00      0.00     75.11
15:15:46        all      4.12      0.00     19.81      0.00      0.00     76.06
15:15:47        all      4.42      0.00     19.62      0.00      0.00     75.97
15:15:48        all      4.04      0.00     20.40      0.00      0.00     75.55
15:15:49        all      4.07      0.00     19.47      0.00      0.00     76.46
15:15:50        all      4.18      0.00     21.81      0.00      0.00     74.01
15:15:51        all      4.71      0.00     20.23      0.00      0.00     75.05
15:15:52        all      4.97      0.00     19.84      0.00      0.00     75.20
15:15:53        all      3.82      0.00     19.39      0.00      0.00     76.79
15:15:54        all      3.79      0.00     19.91      0.00      0.00     76.30
15:15:55        all      3.97      0.00     20.54      0.00      0.00     75.48
15:15:56        all      3.76      0.00     19.49      0.00      0.00     76.75
15:15:57        all      4.33      0.00     20.44      0.00      0.00     75.23
15:15:58        all      3.78      0.00     20.16      0.00      0.00     76.06
15:15:59        all      4.55      0.00     19.98      0.00      0.00     75.47
15:16:00        all      4.55      0.00     20.60      0.00      0.00     74.85
15:16:01        all      3.75      0.00     20.50      0.00      0.00     75.76
15:16:02        all      3.96      0.00     20.68      0.00      0.00     75.36
15:16:03        all      4.06      0.00     19.32      0.00      0.00     76.62
15:16:04        all      4.16      0.00     19.44      0.00      0.00     76.40
15:16:05        all      4.16      0.00     20.98      0.00      0.00     74.87
15:16:06        all      3.82      0.00     19.31      0.00      0.00     76.86
15:16:07        all      4.55      0.00     21.54      0.00      0.00     73.91
15:16:08        all      3.92      0.00     19.54      0.00      0.00     76.54
15:16:09        all      4.64      0.00     19.39      0.02      0.00     75.95
15:16:10        all      3.58      0.00     17.47      0.00      0.00     78.95
15:16:11        all      3.96      0.00     18.36      0.00      0.00     77.68
15:16:12        all      3.84      0.00     18.75      0.00      0.00     77.41
15:16:13        all      4.81      0.00     20.13      0.00      0.00     75.06
15:16:14        all      3.79      0.00     20.12      0.00      0.00     76.09
15:16:15        all      3.99      0.00     19.56      0.00      0.00     76.45
15:16:16        all      4.23      0.00     20.52      0.00      0.00     75.26
15:16:17        all      3.97      0.00     20.19      0.00      0.00     75.85
15:16:18        all      3.53      0.00     18.45      0.00      0.00     78.02
15:16:19        all      4.34      0.00     19.33      0.00      0.00     76.33
15:16:20        all      4.76      0.00     20.92      0.02      0.00     74.30
15:16:21        all      4.93      0.00     20.55      0.00      0.00     74.52
15:16:22        all      4.46      0.00     20.56      0.00      0.00     74.98
15:16:23        all      5.29      0.00     23.64      0.00      0.00     71.06
15:16:24        all      4.24      0.00     22.28      0.00      0.00     73.49
15:16:25        all      3.87      0.00     19.13      0.00      0.00     77.00
15:16:26        all      4.57      0.00     22.22      0.00      0.00     73.20
15:16:27        all      4.49      0.00     22.01      0.00      0.00     73.50
15:16:28        all      4.43      0.00     20.88      0.00      0.00     74.68
15:16:29        all      4.38      0.00     23.09      0.00      0.00     72.53
15:16:30        all      4.81      0.00     22.24      0.00      0.00     72.95
15:16:31        all      4.11      0.00     18.93      0.00      0.00     76.96
Average:        all      3.92      0.00     18.57      0.00      0.00     77.51
