procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95887916  23516 789388    0    0     2    84 30820    6  0  0 100  0  0  0
 0  0      0 95887452  23516 789396    0    0     0     0  684  324  0  0 100  0  0  0
 0  0      0 95886708  23516 789404    0    0     0     0  640  403  0  0 100  0  0  0
 0  0      0 95886468  23516 789408    0    0     0     0  631  393  0  0 100  0  0  0
 0  0      0 95886468  23516 789408    0    0     0     0  121  133  0  0 100  0  0  0
 0  0      0 95886468  23516 789408    0    0     0     9  103  125  0  0 100  0  0  0
 0  0      0 95859328  23524 789440    0    0     0   552 2336 3445  0  0 100  0  0  0
 1  0      0 95837784  23524 789664    0    0     0    41 1444786 1397320  4 20 76  0  0  0
15  0      0 95839396  23524 789664    0    0     0     0 1540207 1502227  4 21 75  0  0  0
 0  0      0 95838056  23524 789668    0    0     0     0 1543999 1506465  4 21 74  0  0  0
 6  0      0 95835776  23524 789668    0    0     0     0 1561089 1527048  4 20 76  0  0  0
 3  0      0 95833152  23524 789668    0    0     0     0 1532718 1493124  5 21 74  0  0  0
25  0      0 95832168  23524 789668    0    0     0    12 1548135 1510547  4 20 76  0  0  0
16  0      0 95828728  23524 789672    0    0     0     0 1569268 1535611  4 20 76  0  0  0
13  0      0 95827144  23524 789672    0    0     0     0 1564860 1532250  4 19 77  0  0  0
 7  0      0 95824812  23524 789676    0    0     0     0 1561714 1527071  5 20 75  0  0  0
 5  0      0 95822272  23524 789676    0    0     0     1 1550659 1513746  4 20 75  0  0  0
 2  0      0 95822396  23524 789676    0    0     0     4 1551643 1515524  4 21 75  0  0  0
13  0      0 95820348  23524 789676    0    0     0     0 1561644 1527950  5 19 77  0  0  0
13  0      0 95819400  23524 789676    0    0     0     0 1544615 1508205  4 19 77  0  0  0
17  0      0 95818292  23524 789676    0    0     0     0 1550075 1514377  5 21 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 95819032  23524 789676    0    0     0     0 1549921 1513476  5 21 75  0  0  0
12  0      0 95818492  23524 789676    0    0     0     4 1576733 1545877  4 19 76  0  0  0
14  0      0 95818056  23524 789680    0    0     0     0 1540502 1504006  4 20 75  0  0  0
 5  0      0 95818228  23524 789680    0    0     0     0 1549870 1514658  4 20 75  0  0  0
19  0      0 95817120  23524 789684    0    0     0     0 1542812 1506754  4 20 76  0  0  0
13  0      0 95818148  23524 789684    0    0     0     0 1568027 1535471  4 20 76  0  0  0
 0  0      0 95818012  23528 789684    0    0     0     4 1582165 1552223  4 19 77  0  0  0
 1  0      0 95817648  23528 789688    0    0     0     0 1567671 1534352  4 21 75  0  0  0
 7  0      0 95818200  23528 789688    0    0     0     0 1544708 1508479  4 21 75  0  0  0
 9  0      0 95818584  23528 789688    0    0     0     0 1555706 1523673  5 20 75  0  0  0
15  0      0 95818440  23528 789688    0    0     0     0 1565055 1529957  4 20 75  0  0  0
23  0      0 95817604  23528 789688    0    0     0     4 1560207 1525896  4 19 77  0  0  0
13  0      0 95817604  23528 789688    0    0     0     0 1570253 1537786  4 20 77  0  0  0
15  0      0 95816488  23528 789688    0    0     0     0 1551734 1516723  4 21 75  0  0  0
12  0      0 95817764  23528 789692    0    0     0     0 1551591 1516621  4 19 77  0  0  0
 9  0      0 95817160  23528 789696    0    0     0     0 1560332 1525651  4 20 76  0  0  0
19  0      0 95816120  23528 789696    0    0     0    42 1562061 1526936  4 20 76  0  0  0
20  0      0 95816300  23528 789696    0    0     0    11 1532668 1492325  5 21 74  0  0  0
14  0      0 95816716  23528 789696    0    0     0     0 1550024 1511844  4 20 76  0  0  0
18  0      0 95816140  23528 789696    0    0     0     0 1567743 1533538  4 21 76  0  0  0
13  0      0 95816316  23528 789700    0    0     0     0 1569442 1535200  4 19 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  1      0 95815912  23528 789704    0    0     0    25 1561118 1525867  4 20 76  0  0  0
14  0      0 95819364  23528 789704    0    0     0     1 1531047 1492112  4 21 75  0  0  0
10  0      0 95819736  23528 789704    0    0     0     0 1540864 1501895  3 20 76  0  0  0
18  0      0 95819096  23528 789696    0    0     0     0 1570059 1538679  4 20 76  0  0  0
11  0      0 95818740  23528 789696    0    0     0     0 1536414 1495966  5 21 74  0  0  0
25  0      0 95818132  23528 789700    0    0     0    30 1558505 1523716  4 20 77  0  0  0
 0  0      0 95818508  23528 789704    0    0     0     4 1573169 1537987  4 19 77  0  0  0
