Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:15:19      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
15:15:20            0       631      0.07      0.02      0.00         0
15:15:21            0       632      0.07      0.02      0.00         0
15:15:22            0       630      0.06      0.02      0.00         0
15:15:23            0       630      0.06      0.02      0.00         0
15:15:24            0       630      0.06      0.02      0.00         0
15:15:25            0       630      0.06      0.02      0.00         0
15:15:26            0       630      0.06      0.02      0.00         0
15:15:27            1       634      0.06      0.01      0.00         0
15:15:28           15       634      0.06      0.01      0.00         0
15:15:29           13       634      0.06      0.01      0.00         0
15:15:30           12       634      0.06      0.01      0.00         0
15:15:31            1       634      0.06      0.01      0.00         0
15:15:32            9       634      0.53      0.11      0.04         0
15:15:33            4       634      0.53      0.11      0.04         0
15:15:34           12       634      0.53      0.11      0.04         0
15:15:35            8       634      0.53      0.11      0.04         0
15:15:36            9       634      0.53      0.11      0.04         0
15:15:37           11       634      1.05      0.23      0.07         0
15:15:38            1       634      1.05      0.23      0.07         0
15:15:39            1       634      1.05      0.23      0.07         0
15:15:40            5       634      1.05      0.23      0.07         0
15:15:41           14       634      1.05      0.23      0.07         0
15:15:42           11       634      1.69      0.37      0.12         0
15:15:43            8       634      1.69      0.37      0.12         0
15:15:44            3       634      1.69      0.37      0.12         0
15:15:45           10       635      1.69      0.37      0.12         0
15:15:46            3       635      1.69      0.37      0.12         0
15:15:47            1       635      1.79      0.42      0.14         0
15:15:48            6       635      1.79      0.42      0.14         0
15:15:49           10       635      1.79      0.42      0.14         0
15:15:50           13       635      1.79      0.42      0.14         0
15:15:51            3       635      1.79      0.42      0.14         0
15:15:52            3       635      2.45      0.58      0.19         0
15:15:53            7       635      2.45      0.58      0.19         0
15:15:54            1       635      2.45      0.58      0.19         0
15:15:55            1       635      2.45      0.58      0.19         0
15:15:56            8       635      2.45      0.58      0.19         0
15:15:57            8       635      3.22      0.77      0.25         0
15:15:58           12       635      3.22      0.77      0.25         0
15:15:59            9       635      3.22      0.77      0.25         0
15:16:00           13       635      3.22      0.77      0.25         0
15:16:01            2       635      3.22      0.77      0.25         0
15:16:02            6       635      3.04      0.77      0.26         0
15:16:03            6       635      3.04      0.77      0.26         0
15:16:04           12       635      3.04      0.77      0.26         0
15:16:05           12       635      3.04      0.77      0.26         0
15:16:06            9       635      3.04      0.77      0.26         0
15:16:07            7       635      3.92      0.99      0.33         0
15:16:08           14       635      3.92      0.99      0.33         0
15:16:09            9       635      3.92      0.99      0.33         0
15:16:10            6       635      3.92      0.99      0.33         0
15:16:11            3       635      3.92      0.99      0.33         0
15:16:12            2       635      3.68      0.99      0.34         0
15:16:13            5       635      3.68      0.99      0.34         0
15:16:14            8       635      3.68      0.99      0.34         0
15:16:15           12       636      3.68      0.99      0.34         0
15:16:16            4       636      3.68      0.99      0.34         0
15:16:17            6       636      4.43      1.19      0.40         0
15:16:18            1       636      4.43      1.19      0.40         0
15:16:19            9       636      4.43      1.19      0.40         0
15:16:20            6       636      4.43      1.19      0.40         0
15:16:21            6       636      4.43      1.19      0.40         0
15:16:22            2       636      4.55      1.27      0.43         0
15:16:23            4       634      4.55      1.27      0.43         0
15:16:24           13       634      4.55      1.27      0.43         0
15:16:25            3       634      4.55      1.27      0.43         0
15:16:26            5       633      4.55      1.27      0.43         0
15:16:27           11       633      5.31      1.48      0.51         0
15:16:28            7       631      5.31      1.48      0.51         0
Average:            6       634      2.36      0.60      0.20         0
