Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

15:15:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:15:19        all      0.04      0.00      0.02      0.00      0.00     99.94
15:15:20        all      0.06      0.00      0.00      0.00      0.00     99.94
15:15:21        all      0.08      0.00      0.02      0.00      0.00     99.90
15:15:22        all      0.00      0.00      0.00      0.00      0.00    100.00
15:15:23        all      0.00      0.00      0.00      0.00      0.00    100.00
15:15:24        all      0.00      0.00      0.00      0.00      0.00    100.00
15:15:25        all      0.00      0.00      0.00      0.00      0.00    100.00
15:15:26        all      0.02      0.00      0.00      0.00      0.00     99.98
15:15:27        all      0.08      0.00      0.21      0.00      0.00     99.71
15:15:28        all      4.80      0.00      8.25      0.00      0.00     86.95
15:15:29        all      6.72      0.00     11.65      0.00      0.00     81.63
15:15:30        all      6.53      0.00     11.44      0.02      0.00     82.01
15:15:31        all      7.50      0.00     10.99      0.00      0.00     81.51
15:15:32        all      7.09      0.00     10.12      0.00      0.00     82.79
15:15:33        all      7.30      0.00     11.19      0.00      0.00     81.51
15:15:34        all      6.25      0.00     10.51      0.00      0.00     83.24
15:15:35        all      7.21      0.00     11.48      0.00      0.00     81.32
15:15:36        all      7.30      0.00     11.42      0.00      0.00     81.28
15:15:37        all      7.18      0.00     11.55      0.00      0.00     81.27
15:15:38        all      6.37      0.00     11.13      0.00      0.00     82.50
15:15:39        all      6.72      0.00     11.44      0.00      0.00     81.84
15:15:40        all      7.53      0.00     11.74      0.02      0.00     80.70
15:15:41        all      6.02      0.00     10.68      0.00      0.00     83.30
15:15:42        all      7.13      0.00     10.14      0.00      0.00     82.72
15:15:43        all      7.38      0.00     11.92      0.00      0.00     80.70
15:15:44        all      7.23      0.00     11.56      0.00      0.00     81.21
15:15:45        all      6.74      0.00     11.61      0.00      0.00     81.64
15:15:46        all      6.56      0.00     11.55      0.00      0.00     81.88
15:15:47        all      7.29      0.00     11.63      0.00      0.00     81.08
15:15:48        all      7.89      0.00     11.69      0.00      0.00     80.42
15:15:49        all      7.52      0.00     11.46      0.00      0.00     81.02
15:15:50        all      7.93      0.00     11.85      0.00      0.00     80.22
15:15:51        all      7.45      0.00     11.86      0.00      0.00     80.68
15:15:52        all      7.75      0.00     11.12      0.00      0.00     81.13
15:15:53        all      7.38      0.00     11.17      0.00      0.00     81.45
15:15:54        all      7.48      0.00     11.62      0.00      0.00     80.90
15:15:55        all      7.52      0.00     11.85      0.02      0.00     80.61
15:15:56        all      6.60      0.00     11.57      0.00      0.00     81.83
15:15:57        all      6.87      0.00     11.39      0.00      0.00     81.74
15:15:58        all      7.93      0.00     10.85      0.00      0.00     81.22
15:15:59        all      7.26      0.00     10.83      0.00      0.00     81.91
15:16:00        all      7.18      0.00     11.88      0.00      0.00     80.94
15:16:01        all      6.87      0.00     11.74      0.00      0.00     81.39
15:16:02        all      7.46      0.00     11.26      0.00      0.00     81.28
15:16:03        all      6.63      0.00     11.84      0.00      0.00     81.53
15:16:04        all      7.08      0.00     11.14      0.00      0.00     81.78
15:16:05        all      6.44      0.00     11.28      0.00      0.00     82.28
15:16:06        all      6.81      0.00     11.04      0.00      0.00     82.14
15:16:07        all      7.22      0.00     11.20      0.00      0.00     81.59
15:16:08        all      7.25      0.00     11.31      0.00      0.00     81.43
15:16:09        all      7.15      0.00     11.53      0.00      0.00     81.32
15:16:10        all      6.98      0.00     10.94      0.32      0.00     81.76
15:16:11        all      7.13      0.00     10.75      0.00      0.00     82.12
15:16:12        all      6.36      0.00     11.59      0.00      0.00     82.05
15:16:13        all      6.93      0.00     10.69      0.00      0.00     82.37
15:16:14        all      7.42      0.00     11.41      0.00      0.00     81.17
15:16:15        all      7.06      0.00     11.99      0.00      0.00     80.95
15:16:16        all      7.35      0.00     11.65      0.00      0.00     81.00
15:16:17        all      7.76      0.00     11.63      0.00      0.00     80.61
15:16:18        all      8.35      0.00     11.91      0.00      0.00     79.75
15:16:19        all      8.19      0.00     12.40      0.00      0.00     79.41
15:16:20        all      7.99      0.00     12.22      0.00      0.00     79.79
15:16:21        all      7.03      0.00     10.69      0.00      0.00     82.28
15:16:22        all      6.48      0.00     10.90      0.00      0.00     82.62
15:16:23        all      7.33      0.00     10.58      0.00      0.00     82.09
15:16:24        all      7.22      0.00     11.03      0.00      0.00     81.75
15:16:25        all      6.85      0.00     10.72      0.00      0.00     82.43
15:16:26        all      7.52      0.00     10.77      0.00      0.00     81.71
15:16:27        all      7.13      0.00     11.42      0.00      0.00     81.46
Average:        all      6.18      0.00      9.77      0.01      0.00     84.04
