procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95675148  25116 854840    0    0     2   565 26971    3  0  0 99  0  0  0
 0  0      0 95675512  25116 854848    0    0     0     0  680  351  0  0 100  0  0  0
 0  0      0 95675524  25116 854852    0    0     0    60  801  534  0  0 100  0  0  0
 0  0      0 95675020  25116 854860    0    0     0     0  761  429  0  0 100  0  0  0
 0  0      0 95681384  25116 854864    0    0     0     0  371  307  0  0 100  0  0  0
 0  0      0 95681384  25116 854880    0    0     0     0  110  134  0  0 100  0  0  0
 0  0      0 95681132  25116 854900    0    0     0     0  161  228  0  0 100  0  0  0
 0  0      0 95681132  25116 854920    0    0     0    12  224  244  0  0 100  0  0  0
 0  0      0 95681132  25116 854936    0    0     0     0  106  122  0  0 100  0  0  0
 0  0      0 95681132  25116 854960    0    0     0     0  340  231  0  0 100  0  0  0
 7  0      0 95593540  25116 855932    0    0     0     0 115785 28213  1  2 98  0  0  0
 4  0      0 95591228  25116 856012    0    0     0     0 1064623 234090  7 11 83  0  0  0
 5  0      0 95590216  25116 856032    0    0     0     0 1075874 235646  7 12 81  0  0  0
 5  0      0 95590204  25116 856052    0    0     0    12 1078561 235933  7 11 82  0  0  0
 7  0      0 95589952  25116 856076    0    0     0     0 1077338 235193  7 10 83  0  0  0
11  0      0 95578856  25116 866380    0    0     0     0 1074654 235764  8 11 82  0  0  0
 8  0      0 95576088  25116 869088    0    0     0     0 1073799 234046  6 11 83  0  0  0
 7  0      0 95574852  25116 870448    0    0     0     0 1074035 233742  7 11 82  0  0  0
 5  0      0 95571060  25116 872984    0    0     0     7 1076697 234853  7 11 81  0  0  0
11  0      0 95568792  25116 875344    0    0     0     0 1077092 235541  7 11 81  0  0  0
 6  0      0 95567024  25116 877136    0    0     0     0 1075123 235204  7 11 82  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95563996  25116 879916    0    0     0     0 1079874 237217  7 11 82  0  0  0
11  0      0 95562060  25116 882404    0    0     0 24091 1081773 237879  7 11 82  0  0  0
13  0      0 95560336  25116 883760    0    0     0    17 1076252 237528  7 12 81  0  0  0
 5  0      0 95558572  25116 885316    0    0     0     0 1078023 234700  6 10 84  0  0  0
 2  0      0 95555796  25116 887856    0    0     0     0 1077229 235083  7 11 82  0  0  0
15  0      0 95554024  25116 889904    0    0     0     0 1077131 234383  7 12 81  0  0  0
 7  0      0 95551240  25116 892796    0    0     0     3 1078822 237020  7 10 82  0  0  0
