Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:17:15      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:17:16            0       568      2.57      3.33      2.00         0
11:17:17            0       567      2.57      3.33      2.00         0
11:17:18            0       567      2.57      3.33      2.00         0
11:17:19            0       567      2.57      3.33      2.00         0
11:17:20            2       639      2.57      3.33      2.00         0
11:17:21            6       639      2.60      3.32      2.01         0
11:17:22            1       639      2.60      3.32      2.01         0
11:17:23            4       639      2.60      3.32      2.01         0
11:17:24            6       639      2.60      3.32      2.01         0
11:17:25            6       639      2.60      3.32      2.01         0
11:17:26            8       639      2.55      3.30      2.01         0
11:17:27            3       639      2.55      3.30      2.01         0
11:17:28            2       638      2.55      3.30      2.01         0
11:17:29            9       638      2.55      3.30      2.01         0
11:17:30            2       638      2.55      3.30      2.01         0
11:17:31            2       638      2.59      3.29      2.01         0
11:17:32            2       638      2.59      3.29      2.01         0
11:17:33            6       638      2.59      3.29      2.01         0
11:17:34            1       638      2.59      3.29      2.01         0
11:17:35            2       638      2.59      3.29      2.01         0
11:17:36            4       638      2.46      3.25      2.00         0
11:17:37            7       638      2.46      3.25      2.00         0
11:17:38            2       638      2.46      3.25      2.00         0
11:17:39           10       637      2.46      3.25      2.00         0
11:17:40            5       637      2.46      3.25      2.00         0
11:17:41            2       635      2.91      3.33      2.04         0
Average:            4       627      2.57      3.30      2.01         0
