Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:17:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:17:12        all      0.04      0.00      0.04      0.00      0.00     99.92
11:17:13        all      0.06      0.00      0.04      0.00      0.00     99.90
11:17:14        all      0.04      0.00      0.04      0.00      0.00     99.92
11:17:15        all      0.02      0.00      0.00      0.00      0.00     99.98
11:17:16        all      0.02      0.00      0.00      0.00      0.00     99.98
11:17:17        all      0.02      0.00      0.02      0.00      0.00     99.96
11:17:18        all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:19        all      0.00      0.00      0.00      0.00      0.00    100.00
11:17:20        all      0.04      0.00      0.00      0.00      0.00     99.96
11:17:21        all     37.65      0.00      2.51      0.00      0.00     59.84
11:17:22        all     88.91      0.00      5.98      0.00      0.00      5.11
11:17:23        all     90.59      0.00      6.22      0.00      0.00      3.19
11:17:24        all     92.10      0.00      5.64      0.00      0.00      2.26
11:17:25        all     90.62      0.00      6.10      0.00      0.00      3.28
11:17:26        all     92.58      0.00      6.07      0.00      0.00      1.34
11:17:27        all     90.36      0.00      5.18      0.00      0.00      4.46
11:17:28        all     90.90      0.00      5.98      0.00      0.00      3.13
11:17:29        all     90.46      0.00      6.43      0.00      0.00      3.11
11:17:30        all     92.58      0.00      5.87      0.00      0.00      1.55
11:17:31        all     93.14      0.00      5.63      0.00      0.00      1.23
11:17:32        all     92.58      0.00      5.91      0.00      0.00      1.51
11:17:33        all     91.49      0.00      5.96      0.00      0.00      2.55
11:17:34        all     88.75      0.00      5.92      0.00      0.00      5.33
11:17:35        all     92.01      0.00      5.93      0.00      0.00      2.07
11:17:36        all     86.10      0.00      5.67      0.00      0.00      8.23
11:17:37        all     92.49      0.00      5.88      0.00      0.00      1.62
Average:        all     57.28      0.00      3.72      0.00      0.00     39.00
