procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95732604  23252 821456    0    0    46  1651 175258    8  4  2 94  0  0  0
 0  0      0 95731656  23252 821464    0    0     0    17  835  555  0  0 100  0  0  0
 0  0      0 95731428  23252 821472    0    0     0     0  678  411  0  0 100  0  0  0
 0  0      0 95731932  23252 821480    0    0     0     0  672  341  0  0 100  0  0  0
 0  0      0 95730960  23252 821660    0    0     0     0  362  252  0  0 100  0  0  0
 0  0      0 95733472  23252 821676    0    0     0     0  287  343  0  0 100  0  0  0
 0  0      0 95733472  23252 821696    0    0     0    11  147  175  0  0 100  0  0  0
 0  0      0 95735732  23256 821724    0    0     0    16  296  222  0  0 100  0  0  0
 0  0      0 95735992  23256 821736    0    0     0     0  121  134  0  0 100  0  0  0
 0  0      0 95735740  23256 821760    0    0     0     0  323  252  0  0 100  0  0  0
 0  0      0 95732500  23256 821828    0    0     0     0 1098  279  0  0 100  0  0  0
48  0      0 95643948  23256 821876    0    0     0     0 412930 41659 70  4 25  0  0  0
46  0      0 95644064  23260 821892    0    0     0    11 522783 35392 89  6  5  0  0  0
47  0      0 95644064  23260 821916    0    0     0     0 527648 35981 91  6  3  0  0  0
48  0      0 95644064  23260 821956    0    0     0     0 533817 37529 92  6  2  0  0  0
44  0      0 95644064  23260 821972    0    0     0     0 528161 37238 90  6  3  0  0  0
47  0      0 95643812  23260 821976    0    0     0     0 537369 37446 93  6  1  0  0  0
45  0      0 95643816  23260 821996    0    0     0     5 523854 36750 90  5  4  0  0  0
47  0      0 95643816  23260 822032    0    0     0     0 529655 37287 91  6  3  0  0  0
48  0      0 95643816  23260 822032    0    0     0     0 530453 37446 91  6  3  0  0  0
47  0      0 95643816  23260 822052    0    0     0     0 536273 38444 93  5  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
48  0      0 95643564  23260 822096    0    0     0     0 537562 39004 93  6  1  0  0  0
47  0      0 95643564  23264 822108    0    0     0     5 536036 38177 93  6  2  0  0  0
48  0      0 95643564  23264 822140    0    0     0     0 532256 38126 91  6  3  0  0  0
48  0      0 95643564  23264 822140    0    0     0     0 520445 36326 88  6  5  0  0  0
48  0      0 95643312  23264 822180    0    0     0     0 523355 36289 90  5  5  0  0  0
