Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:15:08        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:15:09        all      0.04      0.00      0.02      0.00      0.00     99.94
11:15:10        all      0.02      0.00      0.02      0.00      0.00     99.96
11:15:11        all      0.00      0.00      0.02      0.00      0.00     99.98
11:15:12        all      0.02      0.00      0.00      0.00      0.00     99.98
11:15:13        all      0.02      0.00      0.02      0.00      0.00     99.96
11:15:14        all      1.97      0.00      8.01      0.13      0.00     89.90
11:15:15        all      4.04      0.00     17.90      0.00      0.00     78.06
11:15:16        all      2.78      0.00     17.95      0.00      0.00     79.27
11:15:17        all      3.46      0.00     18.01      0.00      0.00     78.53
11:15:18        all      3.73      0.00     17.38      0.00      0.00     78.89
11:15:19        all      3.63      0.00     17.68      0.00      0.00     78.68
11:15:20        all      3.53      0.00     18.06      0.00      0.00     78.41
11:15:21        all      3.68      0.00     18.30      0.00      0.00     78.03
11:15:22        all      3.55      0.00     17.44      0.00      0.00     79.02
11:15:23        all      3.88      0.00     17.51      0.00      0.00     78.61
11:15:24        all      3.41      0.00     16.87      0.00      0.00     79.72
11:15:25        all      3.46      0.00     17.56      0.00      0.00     78.98
11:15:26        all      3.87      0.00     17.82      0.00      0.00     78.31
11:15:27        all      3.39      0.00     17.77      0.00      0.00     78.83
11:15:28        all      3.60      0.00     17.29      0.00      0.00     79.11
11:15:29        all      3.65      0.00     17.91      0.00      0.00     78.44
11:15:30        all      3.68      0.00     17.56      0.00      0.00     78.77
11:15:31        all      3.73      0.00     18.59      0.00      0.00     77.68
11:15:32        all      3.77      0.00     18.61      0.00      0.00     77.62
11:15:33        all      3.40      0.00     18.98      0.00      0.00     77.62
11:15:34        all      4.22      0.00     17.83      0.00      0.00     77.95
Average:        all      2.83      0.00     13.87      0.01      0.00     83.30
