procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95920516  23348 789320    0    0    47  1768 224408   46  1  3 97  0  0  0
 0  0      0 95920516  23348 789328    0    0     0     0  667  320  0  0 100  0  0  0
 0  0      0 95920264  23348 789332    0    0     0     0  576  353  0  0 100  0  0  0
 0  0      0 95919536  23348 789340    0    0     0     0  559  315  0  0 100  0  0  0
 0  0      0 95919536  23348 789340    0    0     0     0  212  233  0  0 100  0  0  0
 0  0      0 95919536  23348 789340    0    0     0     0  106  135  0  0 100  0  0  0
 0  0      0 95919536  23348 789340    0    0     0    62  355  260  0  0 100  0  0  0
18  0      0 95879288  23376 789608    0    0     0   578 1281110 1260364  3 13 83  0  0  0
12  0      0 95880996  23376 789608    0    0     0     0 1633133 1617126  4 18 78  0  0  0
11  0      0 95874336  23376 789608    0    0     0     0 1650065 1634681  3 18 79  0  0  0
10  0      0 95879128  23376 789612    0    0     0     0 1658959 1647503  4 17 79  0  0  0
12  0      0 95879236  23376 789612    0    0     0     0 1641015 1624895  4 18 79  0  0  0
20  0      0 95883800  23376 789612    0    0     0    14 1639079 1622533  4 18 78  0  0  0
13  0      0 95876120  23376 789616    0    0     0     0 1655868 1642310  4 18 78  0  0  0
14  0      0 95881132  23376 789616    0    0     0     0 1657411 1646006  3 18 79  0  0  0
17  0      0 95876712  23376 789616    0    0     0     0 1637250 1623898  4 18 78  0  0  0
 7  0      0 95878424  23376 789620    0    0     0     0 1646705 1637199  4 17 79  0  0  0
 3  0      0 95874120  23376 789620    0    0     0     4 1652765 1641512  3 17 80  0  0  0
12  0      0 95878800  23376 789620    0    0     0     0 1632530 1613755  4 18 78  0  0  0
15  0      0 95876988  23376 789620    0    0     0     0 1621418 1599396  4 18 78  0  0  0
13  0      0 95875012  23376 789620    0    0     0     0 1636810 1621067  3 17 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 95878112  23376 789620    0    0     0     0 1644285 1629103  4 18 78  0  0  0
 8  0      0 95881476  23376 789620    0    0     0     4 1624585 1606576  4 17 79  0  0  0
 7  0      0 95874876  23376 789624    0    0     0     0 1624911 1607204  4 18 79  0  0  0
 8  0      0 95876872  23376 789624    0    0     0     0 1627417 1611489  4 19 77  0  0  0
 4  0      0 95878004  23376 789628    0    0     0     0 1631315 1614108  4 18 79  0  0  0
