Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:15:05      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:15:06            0       649      3.87      4.07      2.18         0
11:15:07            1       651      3.87      4.07      2.18         0
11:15:08            0       649      3.87      4.07      2.18         0
11:15:09            0       649      3.87      4.07      2.18         0
11:15:10            0       649      3.56      4.00      2.17         0
11:15:11            0       649      3.56      4.00      2.17         0
11:15:12            0       649      3.56      4.00      2.17         0
11:15:13            0       651      3.56      4.00      2.17         0
11:15:14           21       652      3.56      4.00      2.17         0
11:15:15           19       652      5.68      4.43      2.32         0
11:15:16           20       652      5.68      4.43      2.32         0
11:15:17           19       652      5.68      4.43      2.32         0
11:15:18           22       652      5.68      4.43      2.32         0
11:15:19           23       652      5.68      4.43      2.32         0
11:15:20            7       652      7.07      4.74      2.43         0
11:15:21           23       652      7.07      4.74      2.43         0
11:15:22           27       652      7.07      4.74      2.43         0
11:15:23           32       652      7.07      4.74      2.43         0
11:15:24           25       652      7.07      4.74      2.43         0
11:15:25           31       652      8.26      5.03      2.53         0
11:15:26           19       652      8.26      5.03      2.53         0
11:15:27           21       652      8.26      5.03      2.53         0
11:15:28           11       652      8.26      5.03      2.53         0
11:15:29           15       651      8.26      5.03      2.53         0
11:15:30           19       652      9.76      5.39      2.67         0
11:15:31           26       650      9.76      5.39      2.67         0
Average:           15       651      6.07      4.54      2.36         0
