Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:10:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:57        all      0.04      0.00      0.02      0.00      0.00     99.94
11:10:58        all      0.06      0.00      0.02      0.00      0.00     99.92
11:10:59        all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:00        all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:01        all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:02        all      1.27      0.00      8.39      0.08      0.00     90.25
11:11:03        all      4.38      0.00     27.25      0.00      0.00     68.37
11:11:04        all      3.73      0.00     28.34      0.00      0.00     67.93
11:11:05        all      3.61      0.00     28.46      0.00      0.00     67.93
11:11:06        all      4.23      0.00     28.84      0.00      0.00     66.93
11:11:07        all      4.75      0.00     28.69      0.00      0.00     66.56
11:11:08        all      3.95      0.00     27.39      0.00      0.00     68.66
11:11:09        all      3.63      0.00     27.84      0.00      0.00     68.53
11:11:10        all      3.82      0.00     27.46      0.00      0.00     68.71
11:11:11        all      4.33      0.00     27.80      0.00      0.00     67.87
11:11:12        all      4.25      0.00     29.25      0.00      0.00     66.50
11:11:13        all      4.24      0.00     29.44      0.00      0.00     66.32
11:11:14        all      4.34      0.00     28.98      0.00      0.00     66.67
11:11:15        all      4.14      0.00     29.43      0.00      0.00     66.44
11:11:16        all      4.37      0.00     29.18      0.00      0.00     66.45
11:11:17        all      4.20      0.00     30.27      0.00      0.00     65.54
11:11:18        all      4.42      0.00     28.39      0.00      0.00     67.19
11:11:19        all      3.97      0.00     27.68      0.00      0.00     68.35
11:11:20        all      4.14      0.00     29.38      0.00      0.00     66.48
11:11:21        all      3.77      0.00     28.50      0.00      0.00     67.73
11:11:22        all      4.45      0.00     29.07      0.00      0.00     66.49
Average:        all      3.18      0.00     21.96      0.00      0.00     74.85
