Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:10:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:53        all      0.06      0.00      0.02      0.00      0.00     99.92
11:10:54        all      0.06      0.00      0.00      0.00      0.00     99.94
11:10:55        all      0.08      0.00      0.02      0.00      0.00     99.90
11:10:56        all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:57        all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:58        all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:59        all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:00        all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:01        all      0.02      0.00      0.00      0.00      0.00     99.98
11:11:02        all      8.08      0.00      4.55      0.00      0.00     87.37
11:11:03        all     40.20      0.00     25.14      0.00      0.00     34.66
11:11:04        all     40.83      0.00     23.47      0.00      0.00     35.70
11:11:05        all     40.10      0.00     24.02      0.00      0.00     35.88
11:11:06        all     38.96      0.00     24.51      0.00      0.00     36.53
11:11:07        all     39.30      0.00     24.25      0.00      0.00     36.45
11:11:08        all     39.41      0.00     24.13      0.00      0.00     36.46
11:11:09        all     40.57      0.00     23.05      0.00      0.00     36.38
11:11:10        all     39.31      0.00     24.29      0.00      0.00     36.40
11:11:11        all     41.50      0.00     23.53      0.00      0.00     34.97
11:11:12        all     38.99      0.00     23.71      0.00      0.00     37.30
11:11:13        all     40.36      0.00     23.53      0.00      0.00     36.11
11:11:14        all     39.71      0.00     23.49      0.00      0.00     36.80
11:11:15        all     40.25      0.00     24.31      0.00      0.00     35.44
11:11:16        all     39.58      0.00     23.87      0.00      0.00     36.55
11:11:17        all     39.01      0.00     25.36      0.00      0.00     35.63
11:11:18        all     40.50      0.00     24.09      0.00      0.00     35.41
Average:        all     24.66      0.00     14.84      0.00      0.00     60.49
