Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:08:50      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:08:51            0       573      2.09      1.21      0.47         0
11:08:52            0       572      2.09      1.21      0.47         0
11:08:53            0       572      2.09      1.21      0.47         0
11:08:54            0       572      2.09      1.21      0.47         0
11:08:55            6       646      2.00      1.20      0.47         0
11:08:56            7       646      2.00      1.20      0.47         0
11:08:57            8       646      2.00      1.20      0.47         0
11:08:58           20       646      2.00      1.20      0.47         0
11:08:59            2       646      2.00      1.20      0.47         0
11:09:00           19       646      3.04      1.43      0.55         0
11:09:01            4       646      3.04      1.43      0.55         0
11:09:02            3       646      3.04      1.43      0.55         0
11:09:03           14       646      3.04      1.43      0.55         0
11:09:04            6       646      3.04      1.43      0.55         0
11:09:05           17       646      4.48      1.76      0.66         0
11:09:06           22       646      4.48      1.76      0.66         0
11:09:07            5       646      4.48      1.76      0.66         0
11:09:08            9       646      4.48      1.76      0.66         0
11:09:09           19       646      4.48      1.76      0.66         0
11:09:10            7       646      4.84      1.88      0.70         0
11:09:11            1       646      4.84      1.88      0.70         0
11:09:12            3       646      4.84      1.88      0.70         0
11:09:13            7       646      4.84      1.88      0.70         0
11:09:14           10       645      4.84      1.88      0.70         0
11:09:15           19       645      5.17      2.00      0.75         0
11:09:16           13       643      5.17      2.00      0.75         0
Average:            8       634      3.48      1.55      0.59         0
