procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95916896  22992 788348    0    0    65  2393 102125   21  0  1 99  0  0  0
 0  0      0 95915664  22992 788356    0    0     0     0  699  325  0  0 100  0  0  0
 0  0      0 95916424  22992 788360    0    0     0     0  599  379  0  0 100  0  0  0
 0  0      0 95916424  22992 788368    0    0     0     0  596  386  0  0 100  0  0  0
 0  0      0 95916424  22992 788368    0    0     0     0  323  139  0  0 100  0  0  0
 0  0      0 95916424  22992 788368    0    0     0     0  106  132  0  0 100  0  0  0
 0  1      0 95908264  23020 788340    0    0     0   361 1222 1786  0  0 100  0  0  0
 4  0      0 95881304  23032 788728    0    0     0   236 1299212 1271245  3 16 82  0  0  0
15  0      0 95883256  23032 788728    0    0     0     0 1592608 1568045  4 17 80  0  0  0
 6  0      0 95877720  23032 788728    0    0     0     0 1596642 1573330  3 17 79  0  0  0
20  0      0 95880264  23032 788732    0    0     0     0 1580030 1552705  4 19 77  0  0  0
17  0      0 95876760  23032 788732    0    0     0     0 1566346 1536988  5 18 78  0  0  0
13  0      0 95877548  23036 788732    0    0     0    13 1558863 1526869  4 21 75  0  0  0
 0  0      0 95876556  23036 788736    0    0     0     0 1576138 1549032  4 19 77  0  0  0
10  0      0 95877132  23036 788736    0    0     0     0 1583531 1556585  4 17 79  0  0  0
 7  0      0 95884272  23036 788740    0    0     0     0 1590483 1566617  3 19 78  0  0  0
 9  0      0 95884236  23036 788740    0    0     0     0 1570110 1540759  4 22 75  0  0  0
 9  0      0 95881216  23036 788740    0    0     0     4 1573453 1542527  4 20 76  0  0  0
14  0      0 95883608  23036 788740    0    0     0     0 1581401 1552522  4 18 79  0  0  0
17  0      0 95879972  23036 788740    0    0     0     0 1576839 1546661  4 18 79  0  0  0
 4  0      0 95879980  23036 788740    0    0     0     0 1583320 1554174  4 18 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 95882076  23036 788740    0    0     0     0 1619008 1597311  3 19 78  0  0  0
 5  0      0 95880220  23036 788744    0    0     0     5 1566922 1533183  4 20 76  0  0  0
22  0      0 95885420  23036 788744    0    0     0     0 1577839 1546443  4 19 78  0  0  0
13  0      0 95885004  23036 788744    0    0     0     0 1554672 1519546  3 21 76  0  0  0
14  0      0 95882572  23036 788748    0    0     0     0 1603543 1579791  3 18 78  0  0  0
