Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:08:46      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:08:47            0       648      1.56      0.95      0.38         0
11:08:48            0       650      1.56      0.95      0.38         0
11:08:49            0       647      1.44      0.93      0.37         0
11:08:50            0       647      1.44      0.93      0.37         0
11:08:51            0       647      1.44      0.93      0.37         0
11:08:52            0       647      1.44      0.93      0.37         0
11:08:53            0       647      1.44      0.93      0.37         0
11:08:54            0       650      1.32      0.91      0.37         0
11:08:55            3       650      1.32      0.91      0.37         0
11:08:56            9       650      1.32      0.91      0.37         0
11:08:57            1       650      1.32      0.91      0.37         0
11:08:58           14       650      1.32      0.91      0.37         0
11:08:59           12       650      2.18      1.10      0.43         0
11:09:00            6       650      2.18      1.10      0.43         0
11:09:01           22       650      2.18      1.10      0.43         0
11:09:02           23       650      2.18      1.10      0.43         0
11:09:03           19       650      2.18      1.10      0.43         0
11:09:04            6       650      3.60      1.41      0.54         0
11:09:05           20       650      3.60      1.41      0.54         0
11:09:06            5       650      3.60      1.41      0.54         0
11:09:07           10       650      3.60      1.41      0.54         0
11:09:08            8       650      3.60      1.41      0.54         0
11:09:09           14       650      4.20      1.57      0.60         0
11:09:10           14       649      4.20      1.57      0.60         0
11:09:11           20       650      4.20      1.57      0.60         0
11:09:12           12       648      4.20      1.57      0.60         0
Average:            8       649      2.41      1.15      0.45         0
