procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95749924  22792 818752    0    0    68  2427 68751    3  1  1 99  0  0  0
 0  0      0 95748172  22792 818768    0    0     0    22  751  524  0  0 100  0  0  0
 0  0      0 95748172  22792 818772    0    0     0     0  736  517  0  0 100  0  0  0
 0  0      0 95747668  22792 818780    0    0     0     0  634  313  0  0 100  0  0  0
 0  0      0 95747696  22792 818944    0    0     0     0  323  238  0  0 100  0  0  0
 0  0      0 95747696  22792 818960    0    0     0     0  107  121  0  0 100  0  0  0
 0  0      0 95747696  22800 818984    0    0     0    10  222  224  0  0 100  0  0  0
 0  0      0 95747696  22800 819004    0    0     0     0  150  188  0  0 100  0  0  0
 0  0      0 95747696  22800 819020    0    0     0     0  103  112  0  0 100  0  0  0
 0  0      0 95746968  22800 819048    0    0     0     0  282  187  0  0 100  0  0  0
 0  0      0 95743980  22800 819128    0    0     0     0 1147  380  0  0 100  0  0  0
 8  0      0 95730916  22800 819248    0    0     0     0 948142 243177 11 11 78  0  0  0
11  0      0 95731744  22800 819272    0    0     0    11 1071697 268505 12 11 77  0  0  0
20  0      0 95728392  22800 819296    0    0     0     0 1074305 269028 12 11 77  0  0  0
 5  0      0 95729724  22800 819320    0    0     0     0 1068455 269449 12 11 77  0  0  0
 8  0      0 95725016  22800 819336    0    0     0     0 1069137 267129 12 12 75  0  0  0
10  0      0 95728004  22800 819360    0    0     0     0 1064030 267102 13 12 75  0  0  0
 7  0      0 95724712  22800 819380    0    0     0     5 1067968 267330 12 11 77  0  0  0
 8  0      0 95728032  22800 819396    0    0     0     0 1070668 269301 14 13 74  0  0  0
 7  0      0 95727668  22800 819416    0    0     0     0 1075183 267528 14 12 75  0  0  0
16  0      0 95726156  22800 819436    0    0     0     0 1072976 267699 13 11 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 95725232  22800 819456    0    0     0     0 1076174 269219 13 11 76  0  0  0
11  0      0 95723256  22800 819472    0    0     0     5 1078660 269717 13 12 75  0  0  0
11  0      0 95725844  22800 819500    0    0     0     0 1075883 267143 12 11 77  0  0  0
 1  0      0 95723316  22800 819524    0    0     0     0 1073123 265478 12 11 77  0  0  0
17  0      0 95729508  22800 819544    0    0     0     0 1077666 266455 13 11 76  0  0  0
