Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:13:02      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:13:03            0       568      3.82      3.19      1.50         0
11:13:04            0       566      3.82      3.19      1.50         0
11:13:05            0       566      3.51      3.13      1.49         0
11:13:06            0       566      3.51      3.13      1.49         0
11:13:07            3       648      3.51      3.13      1.49         0
11:13:08            0       648      3.51      3.13      1.49         0
11:13:09            1       648      3.51      3.13      1.49         0
11:13:10            6       648      4.59      3.37      1.57         0
11:13:11            5       648      4.59      3.37      1.57         0
11:13:12            4       648      4.59      3.37      1.57         0
11:13:13           21       648      4.59      3.37      1.57         0
11:13:14            9       648      4.59      3.37      1.57         0
11:13:15            7       648      5.11      3.49      1.62         0
11:13:16            1       647      5.11      3.49      1.62         0
11:13:17            5       647      5.11      3.49      1.62         0
11:13:18            6       647      5.11      3.49      1.62         0
11:13:19            8       647      5.11      3.49      1.62         0
11:13:20           12       647      5.66      3.63      1.68         0
11:13:21            5       647      5.66      3.63      1.68         0
11:13:22            7       647      5.66      3.63      1.68         0
11:13:23           14       647      5.66      3.63      1.68         0
11:13:24           10       647      5.66      3.63      1.68         0
11:13:25           20       647      6.17      3.77      1.74         0
11:13:26           14       646      6.17      3.77      1.74         0
11:13:27           23       646      6.17      3.77      1.74         0
11:13:28           26       644      6.17      3.77      1.74         0
Average:            8       635      4.87      3.44      1.61         0
