Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:13:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:13:03        all      0.06      0.00      0.02      0.00      0.00     99.92
11:13:04        all      0.04      0.00      0.00      0.00      0.00     99.96
11:13:05        all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:06        all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:07        all      0.04      0.00      0.00      0.00      0.00     99.96
11:13:08        all      1.65      0.00      8.62      0.11      0.00     89.62
11:13:09        all      3.62      0.00     19.23      0.00      0.00     77.15
11:13:10        all      3.74      0.00     18.43      0.00      0.00     77.84
11:13:11        all      3.80      0.00     17.31      0.00      0.00     78.89
11:13:12        all      3.81      0.00     17.36      0.00      0.00     78.83
11:13:13        all      3.50      0.00     18.73      0.00      0.00     77.78
11:13:14        all      3.87      0.00     19.31      0.00      0.00     76.83
11:13:15        all      3.66      0.00     17.71      0.00      0.00     78.63
11:13:16        all      3.91      0.00     18.30      0.00      0.00     77.79
11:13:17        all      3.49      0.00     17.61      0.00      0.00     78.90
11:13:18        all      3.52      0.00     17.69      0.00      0.00     78.80
11:13:19        all      3.56      0.00     18.59      0.00      0.00     77.85
11:13:20        all      3.64      0.00     17.73      0.00      0.00     78.63
11:13:21        all      3.74      0.00     17.99      0.00      0.00     78.27
11:13:22        all      2.66      0.00     18.51      0.00      0.00     78.83
11:13:23        all      3.32      0.00     18.71      0.02      0.00     77.94
11:13:24        all      3.47      0.00     19.60      0.00      0.00     76.93
11:13:25        all      3.55      0.00     18.63      0.00      0.00     77.82
11:13:26        all      4.02      0.00     18.63      0.00      0.00     77.35
11:13:27        all      4.05      0.00     20.60      0.00      0.00     75.34
11:13:28        all      4.29      0.00     21.48      0.00      0.00     74.23
Average:        all      2.85      0.00     14.49      0.01      0.00     82.66
