procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95926640  23248 789060    0    0    52  1936 191063   39  0  2 97  0  0  0
 0  0      0 95925924  23248 789068    0    0     0     0  658  332  0  0 100  0  0  0
 0  0      0 95925168  23248 789072    0    0     0     0  675  462  0  0 100  0  0  0
 0  0      0 95924916  23248 789080    0    0     0     0  532  317  0  0 100  0  0  0
 0  0      0 95924916  23248 789084    0    0     0     0  142  160  0  0 100  0  0  0
 0  0      0 95924916  23248 789084    0    0     0     0  104  118  0  0 100  0  0  0
 0  0      0 95924916  23248 789084    0    0     0    57  444  343  0  0 100  0  0  0
16  0      0 95880208  23272 789188    0    0     0   585 1250661 1223553  3 15 83  0  0  0
 9  0      0 95870448  23272 789448    0    0     0     0 1616813 1596607  3 19 78  0  0  0
 4  0      0 95873172  23272 789448    0    0     0     0 1630362 1614376  4 18 78  0  0  0
13  0      0 95872620  23272 789452    0    0     0     0 1622837 1601325  4 18 79  0  0  0
 5  0      0 95872316  23272 789452    0    0     0     0 1619622 1600855  4 18 78  0  0  0
14  0      0 95867340  23272 789452    0    0     0    15 1655673 1641897  4 18 79  0  0  0
 8  0      0 95867712  23272 789452    0    0     0     0 1621165 1601396  4 19 77  0  0  0
 1  0      0 95866840  23272 789456    0    0     0     0 1631898 1613868  4 18 79  0  0  0
 9  0      0 95863752  23272 789456    0    0     0     0 1622231 1603011  4 19 77  0  0  0
16  0      0 95871852  23272 789460    0    0     0     0 1667456 1651544  3 16 81  0  0  0
 4  0      0 95869916  23272 789460    0    0     0     4 1607073 1587654  4 19 78  0  0  0
12  0      0 95868128  23272 789460    0    0     0     0 1640487 1626670  4 18 78  0  0  0
18  0      0 95867844  23272 789460    0    0     0     0 1633893 1616623  4 18 78  0  0  0
 2  0      0 95863224  23272 789460    0    0     0     0 1623792 1601550  3 18 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0      0 95865368  23272 789460    0    0     0     0 1658907 1641335  3 18 79  0  0  0
18  0      0 95864572  23276 789456    0    0     0     4 1623671 1604181  4 19 77  0  0  0
 3  0      0 95866272  23276 789464    0    0     0     0 1637551 1618985  3 19 78  0  0  0
12  0      0 95868472  23276 789464    0    0     0     0 1618450 1598507  4 20 76  0  0  0
11  0      0 95863936  23276 789468    0    0     0     0 1650796 1635976  4 17 79  0  0  0
