Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:12:58      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:12:59            0       648      3.65      4.02      1.89         0
11:13:00            0       649      3.65      4.02      1.89         0
11:13:01            0       648      3.65      4.02      1.89         0
11:13:02            0       648      3.65      4.02      1.89         0
11:13:03            0       648      3.65      4.02      1.89         0
11:13:04            0       648      3.36      3.95      1.88         0
11:13:05            0       648      3.36      3.95      1.88         0
11:13:06            0       651      3.36      3.95      1.88         0
11:13:07           14       651      3.36      3.95      1.88         0
11:13:08            1       651      3.36      3.95      1.88         0
11:13:09            3       651      3.17      3.90      1.88         0
11:13:10           10       651      3.17      3.90      1.88         0
11:13:11           17       651      3.17      3.90      1.88         0
11:13:12            4       651      3.17      3.90      1.88         0
11:13:13            9       651      3.17      3.90      1.88         0
11:13:14            8       651      3.07      3.87      1.88         0
11:13:15            8       651      3.07      3.87      1.88         0
11:13:16            5       651      3.07      3.87      1.88         0
11:13:17            3       651      3.07      3.87      1.88         0
11:13:18            7       651      3.07      3.87      1.88         0
11:13:19            1       651      3.55      3.96      1.92         0
11:13:20            9       651      3.55      3.96      1.92         0
11:13:21           17       651      3.55      3.96      1.92         0
11:13:22           14       650      3.55      3.96      1.92         0
11:13:23            1       651      3.55      3.96      1.92         0
11:13:24            5       649      3.34      3.91      1.91         0
Average:            5       650      3.36      3.94      1.89         0
