Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:12:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:12:59        all      0.06      0.00      0.00      0.00      0.00     99.94
11:13:00        all      0.04      0.00      0.02      0.00      0.00     99.94
11:13:01        all      0.06      0.00      0.00      0.00      0.00     99.94
11:13:02        all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:03        all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:04        all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:05        all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:06        all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:07        all      0.06      0.00      0.02      0.00      0.00     99.92
11:13:08        all      4.88      0.00      6.16      0.00      0.00     88.96
11:13:09        all      8.86      0.00     11.89      0.00      0.00     79.24
11:13:10        all      9.72      0.00     11.89      0.00      0.00     78.39
11:13:11        all     10.00      0.00     12.12      0.00      0.00     77.88
11:13:12        all     10.02      0.00     11.14      0.00      0.00     78.85
11:13:13        all      9.37      0.00     11.58      0.00      0.00     79.05
11:13:14        all      8.98      0.00     11.93      0.00      0.00     79.09
11:13:15        all      9.11      0.00     12.66      0.00      0.00     78.23
11:13:16        all      8.86      0.00     11.51      0.00      0.00     79.63
11:13:17        all     10.35      0.00     10.55      0.00      0.00     79.10
11:13:18        all      9.53      0.00     11.24      0.00      0.00     79.23
11:13:19        all      9.97      0.00     10.83      0.00      0.00     79.20
11:13:20        all      9.91      0.00     11.67      0.00      0.00     78.43
11:13:21        all      9.95      0.00     11.03      0.00      0.00     79.02
11:13:22        all      9.53      0.00     10.91      0.00      0.00     79.56
11:13:23        all      8.80      0.00     10.67      0.00      0.00     80.53
11:13:24        all      9.13      0.00     10.76      0.00      0.00     80.11
Average:        all      5.97      0.00      7.16      0.00      0.00     86.87
