procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95750436  23052 820260    0    0    54  1964 132545    6  2  2 96  0  0  0
 0  0      0 95755184  23056 820268    0    0     0    17  838  561  0  0 100  0  0  0
 0  0      0 95754692  23056 820272    0    0     0     0  584  356  0  0 100  0  0  0
 0  0      0 95754440  23056 820280    0    0     0     0  727  439  0  0 100  0  0  0
 0  0      0 95753968  23056 820444    0    0     0     0  433  356  0  0 100  0  0  0
 0  0      0 95753968  23056 820460    0    0     0     0  236  240  0  0 100  0  0  0
 0  0      0 95753968  23056 820480    0    0     0    10  124  132  0  0 100  0  0  0
 0  0      0 95753968  23056 820500    0    0     0     0   99  114  0  0 100  0  0  0
 0  0      0 95753968  23056 820516    0    0     0     0  122  156  0  0 100  0  0  0
 0  0      0 95753464  23056 820536    0    0     0     0  330  270  0  0 100  0  0  0
 0  0      0 95748988  23056 820588    0    0     0     0 1082  265  0  0 100  0  0  0
10  0      0 95747736  23056 820708    0    0     0     0 868308 217523  8 10 83  0  0  0
10  0      0 95747616  23060 820728    0    0     0    11 1081999 269301  9 12 79  0  0  0
11  0      0 95745052  23060 820752    0    0     0     0 1085856 268421 10 13 78  0  0  0
 4  0      0 95742832  23060 820772    0    0     0     0 1093950 269256 10 11 79  0  0  0
 7  0      0 95741752  23060 820788    0    0     0     0 1090458 268685 10 12 78  0  0  0
 8  0      0 95740404  23060 820812    0    0     0     0 1093868 270465  9 11 80  0  0  0
10  0      0 95738404  23060 820832    0    0     0     5 1092752 269900  9 12 79  0  0  0
14  0      0 95736232  23060 820848    0    0     0     0 1089122 267693  9 13 78  0  0  0
20  0      0 95735096  23060 820868    0    0     0     0 1089418 266407  9 11 80  0  0  0
 1  0      0 95734236  23060 820888    0    0     0     0 1091595 266265 10 11 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 95732680  23060 820908    0    0     0     0 1087796 268013 10 11 79  0  0  0
14  0      0 95730904  23068 820924    0    0     0     5 1092820 269216 10 11 79  0  0  0
16  0      0 95730096  23068 820948    0    0     0     0 1094714 269237 10 11 79  0  0  0
14  0      0 95729640  23068 820968    0    0     0     0 1094730 267588 10 11 80  0  0  0
 1  0      0 95729356  23068 820988    0    0     0     0 1099120 268471  9 11 80  0  0  0
