Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:06:44      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:06:45            0       578      0.49      0.22      0.07         0
11:06:46            0       576      0.49      0.22      0.07         0
11:06:47            0       576      0.49      0.22      0.07         0
11:06:48            0       576      0.49      0.22      0.07         0
11:06:49           17       649      0.53      0.23      0.08         0
11:06:50           20       649      0.53      0.23      0.08         0
11:06:51            4       649      0.53      0.23      0.08         0
11:06:52            5       649      0.53      0.23      0.08         0
11:06:53            8       648      0.53      0.23      0.08         0
11:06:54           14       648      1.61      0.46      0.15         0
11:06:55            1       648      1.61      0.46      0.15         0
11:06:56            6       648      1.61      0.46      0.15         0
11:06:57            3       648      1.61      0.46      0.15         0
11:06:58            0       648      1.61      0.46      0.15         0
11:06:59            1       648      2.44      0.65      0.22         0
11:07:00            3       648      2.44      0.65      0.22         0
11:07:01            2       648      2.44      0.65      0.22         0
11:07:02            9       648      2.44      0.65      0.22         0
11:07:03            8       648      2.44      0.65      0.22         0
11:07:04           18       648      2.64      0.72      0.24         0
11:07:05            5       648      2.64      0.72      0.24         0
11:07:06            3       648      2.64      0.72      0.24         0
11:07:07           18       648      2.64      0.72      0.24         0
11:07:08            2       647      2.64      0.72      0.24         0
11:07:09           18       647      3.23      0.88      0.29         0
11:07:10            0       645      3.23      0.88      0.29         0
Average:            6       637      1.71      0.50      0.17         0
