Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:06:43        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:06:44        all      0.04      0.00      0.02      0.00      0.00     99.94
11:06:45        all      0.02      0.00      0.00      0.00      0.00     99.98
11:06:46        all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:47        all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:48        all      0.06      0.00      0.00      0.00      0.00     99.94
11:06:49        all      1.92      0.00      9.35      0.11      0.00     88.62
11:06:50        all      2.84      0.00     17.15      0.00      0.00     80.01
11:06:51        all      3.58      0.00     17.42      0.00      0.00     79.00
11:06:52        all      2.97      0.00     18.52      0.00      0.00     78.50
11:06:53        all      3.31      0.00     16.99      0.00      0.00     79.70
11:06:54        all      4.24      0.00     20.14      0.00      0.00     75.62
11:06:55        all      3.00      0.00     16.18      0.00      0.00     80.83
11:06:56        all      2.96      0.00     16.98      0.00      0.00     80.07
11:06:57        all      3.99      0.00     16.73      0.00      0.00     79.28
11:06:58        all      3.67      0.00     17.05      0.00      0.00     79.27
11:06:59        all      2.97      0.00     16.57      0.02      0.00     80.43
11:07:00        all      3.38      0.00     18.06      0.00      0.00     78.56
11:07:01        all      3.71      0.00     19.08      0.00      0.00     77.21
11:07:02        all      3.32      0.00     16.94      0.00      0.00     79.75
11:07:03        all      3.33      0.00     18.10      0.00      0.00     78.57
11:07:04        all      3.85      0.00     17.80      0.00      0.00     78.35
11:07:05        all      3.43      0.00     16.82      0.00      0.00     79.75
11:07:06        all      3.21      0.00     17.42      0.00      0.00     79.38
11:07:07        all      3.49      0.00     18.94      0.00      0.00     77.57
11:07:08        all      3.51      0.00     19.36      0.00      0.00     77.13
11:07:09        all      4.01      0.00     18.53      0.00      0.00     77.46
Average:        all      2.69      0.00     13.84      0.01      0.00     83.46
