procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 95929596  22808 787760    0    0    73  2713 38890    8  0  0 99  0  0  0
 0  0      0 95929848  22808 787768    0    0     0     0  872  418  0  0 100  0  0  0
 0  0      0 95928852  22808 787772    0    0     0     0  606  350  0  0 100  0  0  0
 0  0      0 95928348  22808 787784    0    0     0     0  615  321  0  0 100  0  0  0
 0  0      0 95928600  22808 787784    0    0     0     0  130  136  0  0 100  0  0  0
 0  0      0 95928600  22808 787784    0    0     0    27  213  236  0  0 100  0  0  0
 0  1      0 95916096  22812 787792    0    0     0    60  838 1040  0  0 100  0  0  0
20  0      0 95882184  22852 788212    0    0     0   530 1363587 1349797  3 17 80  0  0  0
 0  0      0 95879680  22852 788212    0    0     0     0 1681866 1681241  3 16 81  0  0  0
 4  0      0 95876348  22852 788212    0    0     0     0 1684225 1683721  3 17 80  0  0  0
 0  0      0 95874088  22852 788216    0    0     0     0 1679443 1676979  3 18 79  0  0  0
 7  0      0 95871728  22852 788216    0    0     0     0 1696532 1699450  4 18 79  0  0  0
 1  0      0 95869492  22852 788224    0    0     0    64 1673340 1672211  4 19 77  0  0  0
 5  0      0 95867536  22852 788224    0    0     0     0 1680161 1679413  3 16 81  0  0  0
 1  0      0 95866660  22852 788228    0    0     0     0 1660310 1658022  4 17 79  0  0  0
 5  0      0 95865736  22852 788228    0    0     0     0 1712384 1715862  4 16 80  0  0  0
 8  0      0 95865536  22852 788232    0    0     0     0 1707424 1718657  3 17 79  0  0  0
11  0      0 95865780  22856 788232    0    0     0     7 1694664 1696542  3 17 80  0  0  0
 5  0      0 95864944  22856 788232    0    0     0     0 1633228 1624351  4 19 77  0  0  0
 6  0      0 95864860  22856 788232    0    0     0     0 1692153 1686760  3 18 79  0  0  0
 7  0      0 95864520  22856 788232    0    0     0     0 1671374 1664033  4 19 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  0      0 95864208  22856 788232    0    0     0     0 1660162 1658152  4 17 79  0  0  0
 7  0      0 95863348  22860 788232    0    0     0    37 1679065 1680327  4 18 79  0  0  0
 7  0      0 95863488  22860 788236    0    0     0     0 1687764 1693212  3 17 80  0  0  0
 2  0      0 95862728  22860 788236    0    0     0     0 1675313 1675741  3 18 79  0  0  0
10  0      0 95863444  22860 788240    0    0     0     0 1648889 1641366  4 19 78  0  0  0
