Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:06:40      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:06:41            0       657      1.11      0.42      0.14         0
11:06:42            0       658      1.11      0.42      0.14         0
11:06:43            1       656      1.03      0.41      0.14         0
11:06:44            1       655      1.03      0.41      0.14         0
11:06:45            1       655      1.03      0.41      0.14         0
11:06:46            1       655      1.03      0.41      0.14         0
11:06:47            1       655      1.03      0.41      0.14         0
11:06:48            1       660      0.94      0.41      0.14         0
11:06:49           15       658      0.94      0.41      0.14         0
11:06:50            2       658      0.94      0.41      0.14         0
11:06:51           13       658      0.94      0.41      0.14         0
11:06:52           15       658      0.94      0.41      0.14         0
11:06:53            2       658      1.99      0.63      0.21         0
11:06:54            7       658      1.99      0.63      0.21         0
11:06:55           16       658      1.99      0.63      0.21         0
11:06:56           11       658      1.99      0.63      0.21         0
11:06:57            8       658      1.99      0.63      0.21         0
11:06:58            5       658      2.39      0.74      0.25         0
11:06:59            7       658      2.39      0.74      0.25         0
11:07:00            2       658      2.39      0.74      0.25         0
11:07:01            8       658      2.39      0.74      0.25         0
11:07:02            9       658      2.39      0.74      0.25         0
11:07:03            9       658      2.28      0.74      0.26         0
11:07:04            2       657      2.28      0.74      0.26         0
11:07:05           10       658      2.28      0.74      0.26         0
11:07:06            7       656      2.28      0.74      0.26         0
Average:            6       657      1.66      0.57      0.19         0
