Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:06:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:06:40        all      0.04      0.00      0.02      0.00      0.00     99.94
11:06:41        all      0.06      0.00      0.00      0.00      0.00     99.94
11:06:42        all      0.04      0.00      0.00      0.00      0.00     99.96
11:06:43        all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:44        all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:45        all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:46        all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:47        all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:48        all      0.06      0.00      0.02      0.00      0.00     99.92
11:06:49        all      3.61      0.00      5.27      0.00      0.00     91.12
11:06:50        all      7.66      0.00     11.23      0.00      0.00     81.11
11:06:51        all      7.78      0.00     12.20      0.00      0.00     80.02
11:06:52        all      7.69      0.00     10.74      0.00      0.00     81.58
11:06:53        all      7.56      0.00     11.49      0.00      0.00     80.95
11:06:54        all      8.75      0.00     11.96      0.00      0.00     79.29
11:06:55        all      8.49      0.00     11.62      0.00      0.00     79.89
11:06:56        all      8.59      0.00     12.53      0.00      0.00     78.88
11:06:57        all      7.38      0.00     11.30      0.00      0.00     81.32
11:06:58        all      7.53      0.00     11.37      0.00      0.00     81.10
11:06:59        all      7.23      0.00     10.96      0.00      0.00     81.81
11:07:00        all      8.07      0.00     11.87      0.02      0.00     80.04
11:07:01        all      7.87      0.00     12.71      0.00      0.00     79.42
11:07:02        all      7.83      0.00     12.31      0.00      0.00     79.86
11:07:03        all      8.12      0.00     11.64      0.00      0.00     80.24
11:07:04        all      7.21      0.00     12.32      0.00      0.00     80.47
11:07:05        all      8.15      0.00     12.85      0.00      0.00     79.00
Average:        all      4.93      0.00      7.39      0.00      0.00     87.68
