procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95751020  22696 817860    0    0    77  2752 26623    1  0  0 99  0  0  0
 0  0      0 95750516  22696 817864    0    0     0    49  749  441  0  0 100  0  0  0
 0  0      0 95749520  22696 817872    0    0     0     0  609  348  0  0 100  0  0  0
 0  0      0 95749016  22696 817880    0    0     0     0  772  469  0  0 100  0  0  0
 0  0      0 95748792  22696 818044    0    0     0     0  476  331  0  0 100  0  0  0
 0  0      0 95748792  22696 818044    0    0     0     0  124  122  0  0 100  0  0  0
 0  0      0 95748792  22700 818076    0    0     0    82  151  142  0  0 100  0  0  0
 0  0      0 95748792  22700 818100    0    0     0     0  146  186  0  0 100  0  0  0
 0  0      0 95748792  22700 818116    0    0     0     0  213  231  0  0 100  0  0  0
 0  0      0 95748316  22700 818136    0    0     0     0  437  164  0  0 100  0  0  0
 0  0      0 95745372  22700 818228    0    0     0     0 1058  254  0  0 100  0  0  0
10  0      0 95741640  22704 818356    0    0     0    15 897399 222092  6  9 85  0  0  0
11  0      0 95739368  22704 818376    0    0     0     0 1107744 268993  7 12 81  0  0  0
14  0      0 95739132  22704 818400    0    0     0     0 1106844 270080  8 12 79  0  0  0
 6  0      0 95738400  22704 818420    0    0     0     0 1110148 268468  7 10 82  0  0  0
 2  0      0 95737140  22704 818436    0    0     0     0 1116494 268812  8 12 80  0  0  0
 4  0      0 95739080  22704 818460    0    0     0     5 1114678 268936  8 12 79  0  0  0
 7  0      0 95738576  22704 818480    0    0     0     0 1107963 266759  8 11 81  0  0  0
10  0      0 95738072  22704 818500    0    0     0     0 1108075 267509  8 12 80  0  0  0
10  0      0 95737568  22704 818520    0    0     0     0 1110858 265552  8 12 80  0  0  0
 2  0      0 95737564  22704 818544    0    0     0     0 1116485 265332  7 11 81  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 95737564  22708 818560    0    0     0     5 1111176 264597  8 11 81  0  0  0
 3  0      0 95737556  22708 818584    0    0     0     0 1108296 268008  8 12 80  0  0  0
 4  0      0 95737304  22708 818608    0    0     0     0 1110552 267671  8 13 79  0  0  0
17  0      0 95737048  22708 818632    0    0     0     0 1101743 266454  8 13 79  0  0  0
 4  0      0 95736788  22708 818652    0    0     0     0 1109340 267528  8 11 81  0  0  0
