Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:16:12      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:16:13            0       570      2.59      3.31      1.89         0
11:16:14            0       568      2.59      3.31      1.89         0
11:16:15            0       568      2.59      3.31      1.89         0
11:16:16            0       568      2.46      3.27      1.88         0
11:16:17            8       642      2.46      3.27      1.88         0
11:16:18            7       642      2.46      3.27      1.88         0
11:16:19            3       642      2.46      3.27      1.88         0
11:16:20           15       642      2.46      3.27      1.88         0
11:16:21            9       642      3.46      3.47      1.95         0
11:16:22            9       642      3.46      3.47      1.95         0
11:16:23            9       642      3.46      3.47      1.95         0
11:16:24            8       642      3.46      3.47      1.95         0
11:16:25            9       642      3.46      3.47      1.95         0
11:16:26           11       640      3.91      3.56      1.99         0
11:16:27           12       640      3.91      3.56      1.99         0
11:16:28           12       640      3.91      3.56      1.99         0
11:16:29           10       640      3.91      3.56      1.99         0
11:16:30            5       640      3.91      3.56      1.99         0
11:16:31            7       640      4.31      3.65      2.03         0
11:16:32           12       640      4.31      3.65      2.03         0
11:16:33            8       640      4.31      3.65      2.03         0
11:16:34            9       640      4.31      3.65      2.03         0
11:16:35           17       640      4.31      3.65      2.03         0
11:16:36           11       639      5.01      3.80      2.09         0
11:16:37           10       639      5.01      3.80      2.09         0
11:16:38           16       637      5.01      3.80      2.09         0
Average:            8       630      3.60      3.50      1.97         0
