Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:16:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:16:12        all      0.06      0.00      0.02      0.00      0.00     99.92
11:16:13        all      0.06      0.00      0.00      0.00      0.00     99.94
11:16:14        all      0.00      0.00      0.02      0.00      0.00     99.98
11:16:15        all      0.00      0.00      0.00      0.00      0.00    100.00
11:16:16        all      0.02      0.00      0.00      0.00      0.00     99.98
11:16:17        all      1.53      0.00      8.12      0.15      0.00     90.20
11:16:18        all      2.97      0.00     18.68      0.00      0.00     78.34
11:16:19        all      2.81      0.00     17.75      0.00      0.00     79.44
11:16:20        all      3.19      0.00     18.25      0.00      0.00     78.56
11:16:21        all      3.17      0.00     19.59      0.00      0.00     77.24
11:16:22        all      2.83      0.00     19.72      0.00      0.00     77.45
11:16:23        all      3.44      0.00     18.79      0.00      0.00     77.78
11:16:24        all      3.33      0.00     20.59      0.00      0.00     76.08
11:16:25        all      2.84      0.00     21.22      0.00      0.00     75.94
11:16:26        all      3.15      0.00     20.06      0.00      0.00     76.79
11:16:27        all      2.60      0.00     19.23      0.00      0.00     78.17
11:16:28        all      3.64      0.00     20.18      0.00      0.00     76.18
11:16:29        all      3.33      0.00     21.43      0.00      0.00     75.24
11:16:30        all      3.41      0.00     19.03      0.00      0.00     77.56
11:16:31        all      3.00      0.00     20.77      0.00      0.00     76.23
11:16:32        all      3.74      0.00     21.59      0.00      0.00     74.67
11:16:33        all      3.30      0.00     18.38      0.02      0.00     78.30
11:16:34        all      3.52      0.00     20.99      0.00      0.00     75.49
11:16:35        all      3.31      0.00     20.30      0.00      0.00     76.40
11:16:36        all      3.35      0.00     20.63      0.00      0.00     76.02
11:16:37        all      3.30      0.00     19.00      0.00      0.00     77.70
Average:        all      2.50      0.00     15.35      0.01      0.00     82.14
