procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95920316  23400 789460    0    0    45  1694 238943   49  1  3 97  0  0  0
 0  0      0 95919560  23400 789468    0    0     0     0  756  434  0  0 100  0  0  0
 0  0      0 95919084  23400 789472    0    0     0     0  571  359  0  0 100  0  0  0
 0  0      0 95919084  23400 789480    0    0     0     0  551  340  0  0 100  0  0  0
 0  0      0 95919336  23400 789480    0    0     0     0  132  149  0  0 100  0  0  0
 0  0      0 95919336  23400 789480    0    0     0     0  207  224  0  0 100  0  0  0
 0  1      0 95907332  23424 789480    0    0     0   331 1004 1141  0  0 100  0  0  0
10  0      0 95874944  23440 789732    0    0     0   311 1466409 1387214  3 15 82  0  0  0
 9  0      0 95872508  23440 789732    0    0     0     0 1725521 1663178  3 18 79  0  0  0
13  0      0 95875176  23440 789732    0    0     0     0 1705984 1659331  3 18 80  0  0  0
 2  0      0 95869312  23440 789736    0    0     0     0 1710674 1660128  3 19 78  0  0  0
 6  0      0 95865728  23440 789736    0    0     0     0 1641136 1558626  3 20 77  0  0  0
15  0      0 95863904  23444 789736    0    0     0    15 1693311 1620250  3 19 78  0  0  0
11  0      0 95871156  23444 789740    0    0     0     0 1685986 1608632  4 20 76  0  0  0
 8  0      0 95871540  23444 789740    0    0     0     0 1670063 1592008  3 20 77  0  0  0
 9  0      0 95871268  23444 789740    0    0     0     0 1669920 1585870  3 21 76  0  0  0
 9  0      0 95868284  23444 789744    0    0     0     0 1674167 1592506  3 20 77  0  0  0
 3  0      0 95867576  23444 789744    0    0     0     4 1686680 1608463  3 20 78  0  0  0
11  0      0 95868920  23444 789744    0    0     0     0 1691628 1612067  4 21 76  0  0  0
11  0      0 95868376  23444 789744    0    0     0     0 1692351 1609969  4 20 76  0  0  0
14  0      0 95873740  23444 789744    0    0     0     0 1712989 1642693  3 20 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 95867976  23444 789744    0    0     0     0 1676182 1594639  3 21 75  0  0  0
11  0      0 95870216  23444 789744    0    0     0     4 1634151 1542188  3 21 76  0  0  0
 9  0      0 95876328  23444 789748    0    0     0     0 1725200 1653466  4 18 78  0  0  0
13  0      0 95870196  23444 789748    0    0     0     0 1679394 1594820  3 21 75  0  0  0
14  0      0 95869084  23444 789748    0    0     0     0 1668577 1587316  3 21 76  0  0  0
