Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:16:08      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:16:09            0       648      6.09      5.07      2.68         0
11:16:10            0       648      6.09      5.07      2.68         0
11:16:11            0       646      6.09      5.07      2.68         0
11:16:12            0       646      6.09      5.07      2.68         0
11:16:13            0       646      6.09      5.07      2.68         0
11:16:14            0       646      5.61      4.99      2.66         0
11:16:15            0       646      5.61      4.99      2.66         0
11:16:16            1       649      5.61      4.99      2.66         0
11:16:17           34       649      5.61      4.99      2.66         0
11:16:18           44       649      5.61      4.99      2.66         0
11:16:19           35       649      7.32      5.35      2.79         0
11:16:20           13       649      7.32      5.35      2.79         0
11:16:21           42       649      7.32      5.35      2.79         0
11:16:22           44       649      7.32      5.35      2.79         0
11:16:23           33       649      7.32      5.35      2.79         0
11:16:24           45       649     10.02      5.95      3.00         0
11:16:25           39       649     10.02      5.95      3.00         0
11:16:26           40       649     10.02      5.95      3.00         0
11:16:27           35       649     10.02      5.95      3.00         0
11:16:28           46       649     10.02      5.95      3.00         0
11:16:29           44       649     12.74      6.58      3.22         0
11:16:30           31       649     12.74      6.58      3.22         0
11:16:31           46       649     12.74      6.58      3.22         0
11:16:32           48       648     12.74      6.58      3.22         0
11:16:33           39       649     12.74      6.58      3.22         0
11:16:34           21       647     14.20      6.98      3.37         0
Average:           26       648      8.58      5.64      2.89         0
