Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:16:08        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:16:09        all      0.08      0.00      0.02      0.00      0.00     99.90
11:16:10        all      0.02      0.00      0.00      0.00      0.00     99.98
11:16:11        all      0.04      0.00      0.02      0.00      0.00     99.94
11:16:12        all      0.00      0.00      0.00      0.00      0.00    100.00
11:16:13        all      0.00      0.00      0.00      0.00      0.00    100.00
11:16:14        all      0.00      0.00      0.00      0.00      0.00    100.00
11:16:15        all      0.00      0.00      0.00      0.00      0.00    100.00
11:16:16        all      0.00      0.00      0.02      0.00      0.00     99.98
11:16:17        all      0.04      0.00      0.00      0.00      0.00     99.96
11:16:18        all     39.11      0.00      9.15      0.00      0.00     51.74
11:16:19        all     67.96      0.00     15.36      0.00      0.00     16.68
11:16:20        all     66.48      0.00     15.48      0.00      0.00     18.03
11:16:21        all     67.97      0.00     16.33      0.00      0.00     15.71
11:16:22        all     66.55      0.00     16.22      0.00      0.00     17.23
11:16:23        all     66.52      0.00     15.87      0.00      0.00     17.61
11:16:24        all     67.73      0.00     15.61      0.00      0.00     16.67
11:16:25        all     68.18      0.00     15.11      0.00      0.00     16.71
11:16:26        all     68.39      0.00     15.13      0.00      0.00     16.48
11:16:27        all     68.01      0.00     15.41      0.00      0.00     16.57
11:16:28        all     68.88      0.00     15.11      0.00      0.00     16.01
11:16:29        all     67.97      0.00     15.99      0.00      0.00     16.05
11:16:30        all     70.83      0.00     15.85      0.00      0.00     13.33
11:16:31        all     68.38      0.00     14.64      0.00      0.00     16.98
11:16:32        all     68.26      0.00     15.58      0.00      0.00     16.17
11:16:33        all     67.75      0.00     15.78      0.00      0.00     16.47
11:16:34        all     67.74      0.00     16.12      0.00      0.00     16.14
Average:        all     43.18      0.00      9.92      0.00      0.00     46.91
