procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95726052  23112 820608    0    0    52  1875 143998    6  2  2 96  0  0  0
 0  0      0 95725640  23112 820616    0    0     0    18  782  517  0  0 100  0  0  0
 0  0      0 95725164  23112 820620    0    0     0     0  733  490  0  0 100  0  0  0
 0  0      0 95726724  23112 820628    0    0     0     0  638  323  0  0 100  0  0  0
 0  0      0 95729040  23112 820696    0    0     0     0  353  245  0  0 100  0  0  0
 0  0      0 95729040  23112 820712    0    0     0     0  160  217  0  0 100  0  0  0
 0  0      0 95729040  23112 820732    0    0     0    10  231  251  0  0 100  0  0  0
 0  0      0 95729044  23112 820752    0    0     0     0  107  115  0  0 100  0  0  0
 0  0      0 95729052  23112 820768    0    0     0     0  115  120  0  0 100  0  0  0
 0  0      0 95728804  23112 820792    0    0     0     0  226  153  0  0 100  0  0  0
 0  0      0 95725572  23116 820844    0    0     0     0 1184  360  0  0 100  0  0  0
25  0      0 95660004  23116 820964    0    0     0     0 816248 192307 22 10 68  0  0  0
 9  0      0 95658996  23116 820984    0    0     0    11 1067336 246925 31 12 57  0  0  0
13  0      0 95656984  23116 821008    0    0     0     0 1063335 245943 32 12 56  0  0  0
18  0      0 95651628  23116 821028    0    0     0     0 1063001 247012 31 14 56  0  0  0
15  0      0 95651128  23116 821044    0    0     0     0 1069934 248733 32 12 56  0  0  0
15  0      0 95650872  23116 821068    0    0     0     0 1059196 245361 31 12 57  0  0  0
19  0      0 95649884  23116 821088    0    0     0     5 1053258 245358 31 12 58  0  0  0
19  0      0 95649128  23116 821104    0    0     0     0 1069753 248362 32 13 55  0  0  0
13  0      0 95648368  23116 821124    0    0     0     0 1061847 247195 31 11 58  0  0  0
15  0      0 95647360  23116 821148    0    0     0     0 1056915 246378 32 12 56  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
22  0      0 95647364  23116 821168    0    0     0     0 1059528 245602 30 13 57  0  0  0
20  0      0 95647112  23116 821192    0    0     0     5 1051653 245636 29 13 58  0  0  0
20  0      0 95645628  23116 821212    0    0     0     0 1055361 245676 30 12 58  0  0  0
 8  0      0 95646140  23116 821236    0    0     0     0 1053371 244681 31 13 57  0  0  0
21  0      0 95644116  23116 821256    0    0     0     0 1051453 245698 30 12 58  0  0  0
