Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:09:53      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:09:54            0       576      2.88      1.77      0.72         0
11:09:55            0       575      2.65      1.74      0.71         0
11:09:56            0       575      2.65      1.74      0.71         0
11:09:57            0       575      2.65      1.74      0.71         0
11:09:58           13       651      2.65      1.74      0.71         0
11:09:59           24       651      2.65      1.74      0.71         0
11:10:00           11       651      3.08      1.85      0.75         0
11:10:01           17       651      3.08      1.85      0.75         0
11:10:02           15       651      3.08      1.85      0.75         0
11:10:03           10       651      3.08      1.85      0.75         0
11:10:04           12       651      3.08      1.85      0.75         0
11:10:05           19       651      3.80      2.02      0.81         0
11:10:06           17       651      3.80      2.02      0.81         0
11:10:07           15       651      3.80      2.02      0.81         0
11:10:08           15       651      3.80      2.02      0.81         0
11:10:09           16       651      3.80      2.02      0.81         0
11:10:10           20       651      5.09      2.32      0.92         0
11:10:11           14       651      5.09      2.32      0.92         0
11:10:12           10       651      5.09      2.32      0.92         0
11:10:13           12       651      5.09      2.32      0.92         0
11:10:14           19       651      5.09      2.32      0.92         0
11:10:15           17       651      5.73      2.49      0.98         0
11:10:16           15       651      5.73      2.49      0.98         0
11:10:17           12       650      5.73      2.49      0.98         0
11:10:18           11       650      5.73      2.49      0.98         0
11:10:19           13       648      5.73      2.49      0.98         0
Average:           13       639      4.02      2.07      0.83         0
