Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:09:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:09:53        all      0.06      0.00      0.00      0.00      0.00     99.94
11:09:54        all      0.04      0.00      0.02      0.00      0.00     99.94
11:09:55        all      0.00      0.00      0.00      0.00      0.00    100.00
11:09:56        all      0.00      0.00      0.00      0.00      0.00    100.00
11:09:57        all      0.02      0.00      0.02      0.02      0.00     99.94
11:09:58        all      1.67      0.00     11.70      0.09      0.00     86.54
11:09:59        all      3.40      0.00     27.95      0.00      0.00     68.65
11:10:00        all      4.12      0.00     27.70      0.00      0.00     68.18
11:10:01        all      4.34      0.00     28.18      0.00      0.00     67.48
11:10:02        all      4.18      0.00     28.82      0.00      0.00     66.99
11:10:03        all      3.72      0.00     27.39      0.00      0.00     68.89
11:10:04        all      3.83      0.00     27.30      0.00      0.00     68.87
11:10:05        all      3.88      0.00     28.45      0.00      0.00     67.67
11:10:06        all      3.83      0.00     29.34      0.00      0.00     66.83
11:10:07        all      4.07      0.00     28.64      0.00      0.00     67.30
11:10:08        all      4.61      0.00     30.19      0.02      0.00     65.17
11:10:09        all      4.60      0.00     30.87      0.00      0.00     64.53
11:10:10        all      4.45      0.00     27.97      0.00      0.00     67.57
11:10:11        all      4.53      0.00     29.78      0.00      0.00     65.69
11:10:12        all      3.59      0.00     31.04      0.00      0.00     65.37
11:10:13        all      3.87      0.00     29.21      0.00      0.00     66.92
11:10:14        all      3.80      0.00     29.33      0.00      0.00     66.87
11:10:15        all      4.18      0.00     30.04      0.00      0.00     65.79
11:10:16        all      4.37      0.00     28.13      0.00      0.00     67.50
11:10:17        all      4.09      0.00     29.19      0.00      0.00     66.72
11:10:18        all      4.48      0.00     29.49      0.00      0.00     66.02
Average:        all      3.17      0.00     22.39      0.01      0.00     74.43
