procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95918916  23060 788580    0    0    61  2260 127352   26  0  1 98  0  0  0
 0  0      0 95917908  23060 788588    0    0     0    50  677  339  0  0 100  0  0  0
 0  0      0 95917908  23060 788592    0    0     0     0  587  368  0  0 100  0  0  0
 0  0      0 95917404  23060 788600    0    0     0     0  592  318  0  0 100  0  0  0
 0  0      0 95917404  23060 788600    0    0     0     0  216  240  0  0 100  0  0  0
 0  0      0 95917404  23060 788600    0    0     0    12  109  142  0  0 100  0  0  0
 0  0      0 95917656  23060 788600    0    0     0     0  537  241  0  0 100  0  0  0
18  0      0 95875860  23088 788900    0    0     0   569 1309958 1276249  3 22 75  0  0  0
14  0      0 95874204  23088 788900    0    0     0     0 1723525 1700492  4 27 69  0  0  0
10  0      0 95874164  23088 788900    0    0     0     0 1684922 1660236  4 28 67  0  0  0
15  0      0 95874368  23088 788904    0    0     0     0 1666418 1639221  4 28 68  0  0  0
 5  0      0 95870392  23088 788904    0    0     0     0 1674428 1643865  4 28 68  0  0  0
22  0      0 95870392  23088 788904    0    0     0    14 1708247 1686568  4 27 69  0  0  0
19  0      0 95869608  23088 788904    0    0     0     0 1733244 1708709  4 27 69  0  0  0
10  0      0 95870080  23088 788908    0    0     0     0 1660111 1627793  4 29 67  0  0  0
11  0      0 95867608  23088 788908    0    0     0     0 1666426 1641444  4 30 66  0  0  0
15  0      0 95868356  23088 788912    0    0     0     0 1690269 1667279  4 29 67  0  0  0
20  0      0 95868520  23088 788912    0    0     0     4 1625225 1594709  4 31 65  0  0  0
18  0      0 95869448  23088 788912    0    0     0     0 1617965 1584517  5 30 66  0  0  0
 9  0      0 95868604  23088 788912    0    0     0     0 1699779 1680803  4 28 67  0  0  0
17  0      0 95868036  23088 788912    0    0     0     0 1653097 1627212  4 30 66  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0      0 95867920  23088 788912    0    0     0     0 1629388 1598726  4 31 66  0  0  0
16  0      0 95866096  23088 788912    0    0     0     4 1625749 1592997  4 30 67  0  0  0
15  0      0 95865636  23088 788916    0    0     0     0 1672329 1648749  4 29 67  0  0  0
16  0      0 95865848  23088 788916    0    0     0     0 1630242 1602824  4 30 66  0  0  0
15  0      0 95866760  23088 788920    0    0     0     0 1686339 1664736  4 28 68  0  0  0
