Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:07:43      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:07:44            0       646      1.26      0.68      0.26         0
11:07:45            0       646      1.26      0.68      0.26         0
11:07:46            0       644      1.26      0.68      0.26         0
11:07:47            0       644      1.26      0.68      0.26         0
11:07:48            0       644      1.26      0.68      0.26         0
11:07:49            0       644      1.16      0.67      0.25         0
11:07:50            0       644      1.16      0.67      0.25         0
11:07:51            0       647      1.16      0.67      0.25         0
11:07:52            7       647      1.16      0.67      0.25         0
11:07:53           12       647      1.16      0.67      0.25         0
11:07:54           16       647      1.31      0.71      0.27         0
11:07:55           18       647      1.31      0.71      0.27         0
11:07:56           12       647      1.31      0.71      0.27         0
11:07:57           11       647      1.31      0.71      0.27         0
11:07:58           20       647      1.31      0.71      0.27         0
11:07:59            7       647      1.61      0.78      0.29         0
11:08:00           10       647      1.61      0.78      0.29         0
11:08:01            9       647      1.61      0.78      0.29         0
11:08:02            8       647      1.61      0.78      0.29         0
11:08:03           11       647      1.61      0.78      0.29         0
11:08:04            1       647      2.52      0.98      0.36         0
11:08:05           11       647      2.52      0.98      0.36         0
11:08:06            7       647      2.52      0.98      0.36         0
11:08:07           12       646      2.52      0.98      0.36         0
11:08:08            7       647      2.52      0.98      0.36         0
11:08:09           15       645      2.72      1.05      0.39         0
Average:            7       646      1.62      0.78      0.29         0
