Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:07:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:07:43        all      0.10      0.00      0.02      0.00      0.00     99.88
11:07:44        all      0.04      0.00      0.00      0.00      0.00     99.96
11:07:45        all      0.04      0.00      0.02      0.00      0.00     99.94
11:07:46        all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:47        all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:48        all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:49        all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:50        all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:51        all      0.04      0.00      0.02      0.00      0.00     99.94
11:07:52        all      5.64      0.00      5.62      0.00      0.00     88.75
11:07:53        all     11.60      0.00     11.62      0.00      0.00     76.78
11:07:54        all     11.58      0.00     11.25      0.00      0.00     77.17
11:07:55        all     11.32      0.00     11.32      0.00      0.00     77.36
11:07:56        all     12.45      0.00     12.59      0.00      0.00     74.96
11:07:57        all     11.88      0.00     12.48      0.00      0.00     75.64
11:07:58        all     11.67      0.00     10.20      0.00      0.00     78.14
11:07:59        all     10.80      0.00     11.05      0.00      0.00     78.15
11:08:00        all     11.57      0.00     11.89      0.00      0.00     76.53
11:08:01        all     11.66      0.00     12.13      0.00      0.00     76.20
11:08:02        all     11.92      0.00     11.53      0.00      0.00     76.55
11:08:03        all     12.16      0.00     10.20      0.00      0.00     77.63
11:08:04        all     11.79      0.00     11.49      0.00      0.00     76.72
11:08:05        all     10.85      0.00     10.74      0.00      0.00     78.41
11:08:06        all     11.44      0.00     12.04      0.00      0.00     76.51
11:08:07        all     12.19      0.00     11.55      0.00      0.00     76.26
11:08:08        all     12.58      0.00     11.32      0.00      0.00     76.10
Average:        all      7.35      0.00      7.19      0.00      0.00     85.46
