procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95753160  22752 818372    0    0    72  2579 49514    2  0  1 99  0  0  0
 0  0      0 95755148  22756 818376    0    0     0    18  918  610  0  0 100  0  0  0
 0  0      0 95754656  22756 818384    0    0     0     0  599  368  0  0 100  0  0  0
 0  0      0 95754404  22756 818392    0    0     0     0  706  369  0  0 100  0  0  0
 0  0      0 95753684  22756 818572    0    0     0     0  402  354  0  0 100  0  0  0
 0  0      0 95753684  22756 818588    0    0     0     0  218  240  0  0 100  0  0  0
 0  0      0 95753684  22756 818608    0    0     0    17  138  136  0  0 100  0  0  0
 0  0      0 95753684  22756 818628    0    0     0     0  114  122  0  0 100  0  0  0
 0  0      0 95753432  22756 818644    0    0     0     0  117  131  0  0 100  0  0  0
 0  0      0 95753208  22756 818664    0    0     0     0  333  257  0  0 100  0  0  0
 0  0      0 95749272  22756 818728    0    0     0     0 1081  279  0  0 100  0  0  0
10  0      0 95744624  22756 818856    0    0     0    11 838905 199671  9  9 82  0  0  0
 9  0      0 95735808  22756 818876    0    0     0     0 1060211 249072 12 12 76  0  0  0
 6  0      0 95735912  22756 818900    0    0     0     0 1068499 250123 11 12 77  0  0  0
 8  0      0 95737676  22756 818920    0    0     0     0 1064114 247923 12 11 77  0  0  0
15  0      0 95742968  22756 818936    0    0     0     0 1066855 248963 12 13 75  0  0  0
12  0      0 95743636  22756 818960    0    0     0     0 1069492 248924 12 11 77  0  0  0
11  0      0 95741852  22756 818980    0    0     0     5 1067620 249701 11 11 78  0  0  0
19  0      0 95737436  22756 818996    0    0     0     0 1065921 248929 11 11 77  0  0  0
 7  0      0 95742676  22756 819016    0    0     0     0 1066822 248319 11 12 77  0  0  0
10  0      0 95742536  22756 819036    0    0     0     0 1067377 248494 12 12 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 95741360  22756 819056    0    0     0     0 1066901 248932 12 11 77  0  0  0
 7  0      0 95738376  22756 819072    0    0     0     5 1062913 247511 13 11 77  0  0  0
 1  0      0 95737948  22756 819096    0    0     0     0 1062814 246751 12 11 77  0  0  0
14  0      0 95739440  22756 819116    0    0     0     0 1063654 248830 11 11 78  0  0  0
18  0      0 95738096  22756 819136    0    0     0     0 1066067 248831 11 12 77  0  0  0
