Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:11:59      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:12:00            0       567      3.18      2.72      1.23         0
11:12:01            0       565      3.18      2.72      1.23         0
11:12:02            0       565      3.18      2.72      1.23         0
11:12:03            0       565      3.18      2.72      1.23         0
11:12:04            0       641      3.18      2.72      1.23         0
11:12:05           15       641      3.57      2.81      1.27         0
11:12:06           14       641      3.57      2.81      1.27         0
11:12:07           16       641      3.57      2.81      1.27         0
11:12:08            1       641      3.57      2.81      1.27         0
11:12:09            2       641      3.57      2.81      1.27         0
11:12:10            3       641      3.76      2.86      1.30         0
11:12:11            4       641      3.76      2.86      1.30         0
11:12:12            8       641      3.76      2.86      1.30         0
11:12:13            7       641      3.76      2.86      1.30         0
11:12:14            9       641      3.76      2.86      1.30         0
11:12:15           12       640      4.90      3.11      1.39         0
11:12:16            7       640      4.90      3.11      1.39         0
11:12:17           11       640      4.90      3.11      1.39         0
11:12:18            0       640      4.90      3.11      1.39         0
11:12:19            6       640      4.90      3.11      1.39         0
11:12:20            7       640      5.79      3.33      1.46         0
11:12:21           22       640      5.79      3.33      1.46         0
11:12:22            5       640      5.79      3.33      1.46         0
11:12:23           14       639      5.79      3.33      1.46         0
11:12:24            8       639      5.79      3.33      1.46         0
11:12:25           19       635      6.85      3.59      1.56         0
Average:            7       629      4.34      2.99      1.34         0
