Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:11:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:12:00        all      0.04      0.00      0.00      0.00      0.00     99.96
11:12:01        all      0.06      0.00      0.04      0.00      0.00     99.90
11:12:02        all      0.00      0.00      0.02      0.00      0.00     99.98
11:12:03        all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:04        all      0.02      0.00      0.00      0.00      0.00     99.98
11:12:05        all      1.29      0.00      8.86      0.06      0.00     89.80
11:12:06        all      3.68      0.00     20.07      0.00      0.00     76.25
11:12:07        all      3.61      0.00     20.50      0.00      0.00     75.89
11:12:08        all      3.95      0.00     19.80      0.00      0.00     76.25
11:12:09        all      3.50      0.00     18.87      0.00      0.00     77.63
11:12:10        all      3.60      0.00     16.84      0.02      0.00     79.54
11:12:11        all      3.52      0.00     19.30      0.00      0.00     77.17
11:12:12        all      3.22      0.00     17.61      0.00      0.00     79.16
11:12:13        all      3.45      0.00     18.00      0.00      0.00     78.56
11:12:14        all      3.29      0.00     17.75      0.00      0.00     78.96
11:12:15        all      3.49      0.00     18.82      0.00      0.00     77.69
11:12:16        all      3.60      0.00     18.51      0.00      0.00     77.89
11:12:17        all      3.76      0.00     17.71      0.00      0.00     78.54
11:12:18        all      3.48      0.00     18.11      0.00      0.00     78.41
11:12:19        all      3.70      0.00     18.34      0.00      0.00     77.96
11:12:20        all      3.91      0.00     17.54      0.00      0.00     78.55
11:12:21        all      3.61      0.00     18.35      0.00      0.00     78.05
11:12:22        all      4.48      0.00     19.71      0.00      0.00     75.81
11:12:23        all      2.93      0.00     17.47      0.00      0.00     79.60
11:12:24        all      3.27      0.00     17.28      0.00      0.00     79.45
11:12:25        all      3.86      0.00     18.94      0.00      0.00     77.19
Average:        all      2.79      0.00     14.38      0.00      0.00     82.83
