procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 95924768  23172 788900    0    0    55  2033 172260   35  0  2 97  0  0  0
 0  0      0 95924532  23172 788912    0    0     0     0  763  420  0  0 100  0  0  0
 0  0      0 95924280  23172 788920    0    0     0     0  548  355  0  0 100  0  0  0
 0  0      0 95923524  23172 788928    0    0     0     0  618  333  0  0 100  0  0  0
 0  0      0 95923524  23172 788928    0    0     0     0  110  126  0  0 100  0  0  0
 0  0      0 95923524  23172 788928    0    0     0     0  198  212  0  0 100  0  0  0
 0  0      0 95923524  23176 788928    0    0     0    59  335  245  0  0 100  0  0  0
 5  0      0 95882840  23212 789208    0    0     0   567 1201484 1153281  3 16 81  0  0  0
 2  0      0 95879776  23212 789208    0    0     0     0 1589342 1542055  4 20 76  0  0  0
14  0      0 95875116  23212 789208    0    0     0     0 1587306 1539908  4 20 77  0  0  0
11  0      0 95874120  23212 789208    0    0     0     0 1585271 1537567  4 20 76  0  0  0
25  0      0 95872760  23212 789212    0    0     0     0 1612547 1568398  4 18 78  0  0  0
15  0      0 95873304  23212 789212    0    0     0    15 1621422 1577775  3 18 79  0  0  0
18  0      0 95872616  23212 789216    0    0     0     0 1601386 1557722  3 18 78  0  0  0
 6  0      0 95875292  23212 789216    0    0     0     0 1603628 1560013  3 19 78  0  0  0
 6  0      0 95871104  23212 789216    0    0     0     0 1649947 1612611  3 18 79  0  0  0
20  0      0 95871116  23212 789220    0    0     0     0 1623588 1582398  3 17 79  0  0  0
 5  0      0 95876668  23216 789220    0    0     0     4 1574817 1526101  3 20 77  0  0  0
14  0      0 95875996  23216 789220    0    0     0     0 1599673 1555075  4 18 79  0  0  0
 4  0      0 95872708  23216 789220    0    0     0     0 1606969 1564804  4 18 79  0  0  0
 5  0      0 95874040  23216 789220    0    0     0     0 1619651 1575866  4 19 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  0      0 95874452  23216 789220    0    0     0     0 1662395 1628720  4 18 78  0  0  0
 6  0      0 95874372  23220 789220    0    0     0     4 1645126 1610497  4 18 78  0  0  0
 5  0      0 95875776  23220 789224    0    0     0     0 1637312 1593455  4 19 77  0  0  0
16  0      0 95877916  23220 789224    0    0     0     0 1617726 1575874  4 19 77  0  0  0
 3  0      0 95878500  23220 789228    0    0     0     0 1684560 1648018  3 17 80  0  0  0
