Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:11:55      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:11:56            0       641      6.93      4.39      1.85         0
11:11:57            0       642      6.93      4.39      1.85         0
11:11:58            0       641      6.93      4.39      1.85         0
11:11:59            0       641      6.46      4.34      1.84         0
11:12:00            0       641      6.46      4.34      1.84         0
11:12:01            0       641      6.46      4.34      1.84         0
11:12:02            0       641      6.46      4.34      1.84         0
11:12:03            0       643      6.46      4.34      1.84         0
11:12:04            4       644      5.94      4.27      1.83         0
11:12:05            1       644      5.94      4.27      1.83         0
11:12:06           11       644      5.94      4.27      1.83         0
11:12:07           11       644      5.94      4.27      1.83         0
11:12:08            5       644      5.94      4.27      1.83         0
11:12:09            1       644      6.51      4.41      1.89         0
11:12:10            6       644      6.51      4.41      1.89         0
11:12:11            4       644      6.51      4.41      1.89         0
11:12:12            6       644      6.51      4.41      1.89         0
11:12:13            1       644      6.51      4.41      1.89         0
11:12:14            3       644      6.39      4.42      1.91         0
11:12:15            6       644      6.39      4.42      1.91         0
11:12:16           13       644      6.39      4.42      1.91         0
11:12:17            1       644      6.39      4.42      1.91         0
11:12:18           17       644      6.39      4.42      1.91         0
11:12:19            3       643      6.59      4.50      1.95         0
11:12:20            5       644      6.59      4.50      1.95         0
11:12:21           11       642      6.59      4.50      1.95         0
Average:            4       643      6.43      4.38      1.88         0
